,Description,Parameters,Return,ApiLevel,ClassDescription,PackageDescription,sensitive data?,shared resource?,sensitive shared resource?,produces sensitive data from shared resource?,writes sensitive data to shared resource?,Source?,Sink?,Needs Clarification
<android.bluetooth.BluetoothA2dp: void finalize()>,"Called by the garbage collector on an object when garbage collection
 determines that there are no more references to the object.
 A subclass overrides the finalize method to dispose of
 system resources or to perform other cleanup. The general contract of finalize is that it is invoked
 if and when the Java™ virtual
 machine has determined that there is no longer any
 means by which this object can be accessed by any thread that has
 not yet died except as a result of an action taken by the
 finalization of some other object or class which is ready to be
 finalized. The finalize method may take any action including
 making this object available again to other threads; the usual purpose
 of finalize however is to perform cleanup actions before
 the object is irrevocably discarded. For example the finalize method
 for an object that represents an input/output connection might perform
 explicit I/O transactions to break the connection before the object is
 permanently discarded. The finalize method of class Object performs no
 special action; it simply returns normally. Subclasses of Object may override this definition. The Java programming language does not guarantee which thread will
 invoke the finalize method for any given object. It is
 guaranteed however that the thread that invokes finalize will not
 be holding any user-visible synchronization locks when finalize is
 invoked. If an uncaught exception is thrown by the finalize method
 the exception is ignored and finalization of that object terminates. After the finalize method has been invoked for an object no
 further action is taken until the Java virtual machine has again
 determined that there is no longer any means by which this object can
 be accessed by any thread that has not yet died including possible
 actions by other objects or classes which are ready to be finalized
 at which point the object may be discarded. The finalize method is never invoked more than once by a Java
 virtual machine for any given object. Any exception thrown by the finalize method causes
 the finalization of this object to be halted but is otherwise
 ignored.",,void,11,"This class provides the public APIs to control the Bluetooth A2DP
 profile.

  BluetoothA2dp is a proxy object for controlling the Bluetooth A2DP
 Service via IPC. Use  BluetoothAdapter#getProfileProxy  to get
 the BluetoothA2dp proxy object.

   Android only supports one connected Bluetooth A2dp device at a time.
 Each method is protected with its appropriate permission.","Provides classes that manage Bluetooth functionality such as scanning for
 devices connecting with devices and managing data transfer between devices.
 The Bluetooth API supports both ""Classic Bluetooth"" and Bluetooth Low Energy. For more information about Classic Bluetooth see the
  Bluetooth  guide.
 For more information about Bluetooth Low Energy see the
  
 Bluetooth Low Energy  (BLE) guide. The Bluetooth APIs let applications: Scan for other Bluetooth devices (including BLE devices). Query the local Bluetooth adapter for paired Bluetooth devices. Establish RFCOMM channels/sockets. Connect to specified sockets on other devices. Transfer data to and from other devices. Communicate with BLE devices such as proximity sensors heart rate
     monitors fitness devices and so on. Act as a GATT client or a GATT server (BLE). 
 To perform Bluetooth communication using these APIs an application must
 declare the  BLUETOOTH  permission. Some
 additional functionality such as requesting device discovery
 also requires the  BLUETOOTH_ADMIN 
 permission.
  Note: 
 Not all Android-powered devices provide Bluetooth functionality.",no,no,0,no,no,no,no,
"<android.preference.PreferenceActivity: void startPreferencePanel(String,Bundle,int,CharSequence,Fragment,int)>","Start a new fragment containing a preference panel.  If the preferences
 are being displayed in multi-pane mode the given fragment class will
 be instantiated and placed in the appropriate pane.  If running in
 single-pane mode a new activity will be launched in which to show the
 fragment.","fragmentClass String : Full name of the class implementing the fragment. |||
args Bundle : Any desired arguments to supply to the fragment. |||
titleRes int : Optional resource identifier of the title of this
fragment. |||
titleText CharSequence : Optional text of the title of this fragment. |||
resultTo Fragment : Optional fragment that result data should be sent to.
If non-null resultTo.onActivityResult() will be called when this
preference panel is done.  The launched panel must use finishPreferencePanel(android.app.Fragment int android.content.Intent) when done. |||
resultRequestCode int : If resultTo is non-null this is the caller's
request code to be received with the result. |||",void,11,"This is the base class for an activity to show a hierarchy of preferences
 to the user.  Prior to  Build.VERSION_CODES.HONEYCOMB 
 this class only allowed the display of a single set of preference; this
 functionality should now be found in the new  PreferenceFragment 
 class.  If you are using PreferenceActivity in its old mode the documentation
 there applies to the deprecated APIs here.

  This activity shows one or more headers of preferences each of which
 is associated with a  PreferenceFragment  to display the preferences
 of that header.  The actual layout and display of these associations can
 however vary; currently there are two major approaches it may take:

  On a small screen it may display only the headers as a single list when first launched.
 Selecting one of the header items will only show the PreferenceFragment of that header (on
 Android N and lower a new Activity is launched).
  On a large screen it may display both the headers and current PreferenceFragment together as
 panes. Selecting a header item switches to showing the correct PreferenceFragment for that item.
  Subclasses of PreferenceActivity should implement
  onBuildHeaders(List )  to populate the header list with the desired
 items.  Doing this implicitly switches the class into its new ""headers
 + fragments"" mode rather than the old style of just showing a single
 preferences list.",,no,no,0,no,no,no,no,
"<android.content.ContextWrapper: void sendBroadcast(Intent,String)>","Broadcast the given intent to all interested BroadcastReceivers allowing
 an optional required permission to be enforced.  This
 call is asynchronous; it returns immediately and you will continue
 executing while the receivers are run.  No results are propagated from
 receivers and receivers can not abort the broadcast. If you want
 to allow receivers to propagate results or abort the broadcast you must
 send an ordered broadcast using sendOrderedBroadcast(android.content.Intent java.lang.String) . See BroadcastReceiver for more information on Intent broadcasts.","intent Intent : The Intent to broadcast; all receivers matching this
Intent will receive the broadcast. |||
receiverPermission String : (optional) String naming a permission that
a receiver must hold in order to receive your broadcast.
If null no permission is required.
This value may be null . |||",void,1,"Proxying implementation of Context that simply delegates all of its calls to
 another Context.  Can be subclassed to modify behavior without changing
 the original Context.","Contains classes for accessing and publishing data on a device.  It includes three main
 categories of APIs: Content sharing ( android.content ) For sharing content between application components. The most important classes are:
      ContentProvider  and  ContentResolver 
   for managing and publishing persistent data associated with an application. Intent  and  IntentFilter  for delivering
   structured messages between different application components—allowing components to initiate
   other components and return results. Package management ( android.content.pm ) For accessing information about an Android package (an  .apk ) including information
 about its activities permissions services signatures and providers. The most important class for
 accessing this information is  PackageManager . Resource management ( android.content.res ) For retrieving resource data associated with an application such as strings drawables
 media and device configuration details. The most important class for accessing this data is  Resources .",IPC,IPC,1,no,yes,no,SINK,
"<android.widget.AdapterViewAnimator: void setInAnimation(Context,int)>",Specifies the animation used to animate a View that enters the screen.,"context Context : The application's environment. |||
resourceID int : The resource id of the animation. |||",void,11,"An AdapterView is a view whose children are determined by an  Adapter .

  
 See  ListView   GridView   Spinner  and
       Gallery  for commonly used subclasses of AdapterView.","The widget package contains (mostly visual) UI elements to use
 on your Application screen. You can also design your own.
  
 To create your own widget extend  View  or a subclass. To
 use your widget in layout XML there are two additional files for you to
 create. Here is a list of files you'll need to create to implement a custom
 widget:
  Java implementation file  - This is the file that implements the
 behavior of the widget. If you can instantiate the object from layout XML
 you will also have to code a constructor that retrieves all the attribute
 values from the layout XML file. XML definition file  - An XML file in res/values/ that defines
 the XML element used to instantiate your widget and the attributes that it
 supports. Other applications will use this element and attributes in their in
 another in their layout XML. Layout XML  [ optional ]- An optional XML file inside
 res/layout/ that describes the layout of your widget. You could also do
 this in code in your Java file. 
 ApiDemos sample application has an example of creating a custom layout XML
 tag LabelView. See the following files that demonstrate implementing and using
 a custom widget:
  LabelView.java  - The implementation file res/values/attrs.xml  - Definition file res/layout/custom_view_1.xml  - Layout file",no,UI,0,no,no,no,no,
"<android.animation.LayoutTransition: void hideChild(ViewGroup,View)>","This method was deprecated
      in API level 16. Use hideChild(android.view.ViewGroup android.view.View int) .","parent ViewGroup |||
child View |||",void,11,"This class enables automatic animations on layout changes in ViewGroup objects. To enable
 transitions for a layout container create a LayoutTransition object and set it on any
 ViewGroup by calling  ViewGroup#setLayoutTransition(LayoutTransition) . This will cause
 default animations to run whenever items are added to or removed from that container. To specify
 custom animations use the  LayoutTransition#setAnimator(int Animator)  method.

  One of the core concepts of these transition animations is that there are two types of
 changes that cause the transition and four different animations that run because of
 those changes. The changes that trigger the transition are items being added to a container
 (referred to as an ""appearing"" transition) or removed from a container (also known as
 ""disappearing""). Setting the visibility of views (between GONE and VISIBLE) will trigger
 the same add/remove logic. The animations that run due to those events are one that animates
 items being added one that animates items being removed and two that animate the other
 items in the container that change due to the add/remove occurrence. Users of
 the transition may want different animations for the changing items depending on whether
 they are changing due to an appearing or disappearing event so there is one animation for
 each of these variations of the changing event. Most of the API of this class is concerned
 with setting up the basic properties of the animations used in these four situations
 or with setting up custom animations for any or all of the four. By default the DISAPPEARING animation begins immediately as does the CHANGE_APPEARING
 animation. The other animations begin after a delay that is set to the default duration
 of the animations. This behavior facilitates a sequence of animations in transitions as
 follows: when an item is being added to a layout the other children of that container will
 move first (thus creating space for the new item) then the appearing animation will run to
 animate the item being added. Conversely when an item is removed from a container the
 animation to remove it will run first then the animations of the other children in the
 layout will run (closing the gap created in the layout when the item was removed). If this
 default choreography behavior is not desired the  setDuration(int long)  and
  setStartDelay(int long)  of any or all of the animations can be changed as
 appropriate. Keep in mind however that if you start an APPEARING animation before a
 DISAPPEARING animation is completed the DISAPPEARING animation stops and any effects from
 the DISAPPEARING animation are reverted. If you instead start a DISAPPEARING animation
 before an APPEARING animation is completed a similar set of effects occurs for the
 APPEARING animation. The animations specified for the transition both the defaults and any custom animations
 set on the transition object are templates only. That is these animations exist to hold the
 basic animation properties such as the duration start delay and properties being animated.
 But the actual target object as well as the start and end values for those properties are
 set automatically in the process of setting up the transition each time it runs. Each of the
 animations is cloned from the original copy and the clone is then populated with the dynamic
 values of the target being animated (such as one of the items in a layout container that is
 moving as a result of the layout event) as well as the values that are changing (such as the
 position and size of that object). The actual values that are pushed to each animation
 depends on what properties are specified for the animation. For example the default
 CHANGE_APPEARING animation animates the  left   top   right 
  bottom   scrollX  and  scrollY  properties.
 Values for these properties are updated with the pre- and post-layout
 values when the transition begins. Custom animations will be similarly populated with
 the target and values being animated assuming they use ObjectAnimator objects with
 property names that are known on the target object. This class and the associated XML flag for containers animateLayoutChanges=""true""
 provides a simple utility meant for automating changes in straightforward situations.
 Using LayoutTransition at multiple levels of a nested view hierarchy may not work due to the
 interrelationship of the various levels of layout. Also a container that is being scrolled
 at the same time as items are being added or removed is probably not a good candidate for
 this utility because the before/after locations calculated by LayoutTransition
 may not match the actual locations when the animations finish due to the container
 being scrolled as the animations are running. You can work around that
 particular issue by disabling the 'changing' animations by setting the CHANGE_APPEARING
 and CHANGE_DISAPPEARING animations to null and setting the startDelay of the
 other animations appropriately.","These classes provide functionality for the property animation system which allows you
 to animate object properties of any type.  int   float  and hexadecimal
 color values are supported by default. You can animate any other type by telling the system how
 to calculate the values for that given type with a custom  TypeEvaluator .
  For more information see the
  Animation  guide. 
 You can set many different types of interpolators (contained in  android.view.animation )
 specify  keyframes  or group animations to play sequentially
 or simultaneously (with  AnimatorSet ) to further control your animation
 behaviors.",no,no,0,no,no,no,no,
<android.nfc.NfcAdapter: void disableForegroundNdefPush(Activity)>,"This method was deprecated
      in API level 15. use setNdefPushMessage(NdefMessage Activity Activity...) instead Disable NDEF message push over P2P. After calling enableForegroundNdefPush(Activity NdefMessage) an activity
 must call this method before its Activity#onPause callback
 completes. Strongly recommend to use the new setNdefPushMessage(NdefMessage Activity Activity...) instead: it automatically hooks into your activity life-cycle
 so you do not need to call enable/disable in your onResume/onPause. This method must be called from the main thread. Requires the Manifest.permission.NFC permission.",activity Activity : the Foreground activity |||,void,10,"Represents the local NFC adapter.
  
 Use the helper  getDefaultAdapter(android.content.Context)  to get the default NFC
 adapter for this Android device.","Provides access to Near Field Communication (NFC) functionality allowing applications to read
 NDEF message in NFC tags. A ""tag"" may actually be another device that appears as a tag. For more information see the
  Near Field Communication  guide. Here's a summary of the classes: NfcManager This is the high level manager used to obtain this device's  NfcAdapter . You can
 acquire an instance using  getSystemService(Class ) . NfcAdapter This represents the device's NFC adapter which is your entry-point to performing NFC
 operations. You can acquire an instance with  getDefaultAdapter()  or
  getDefaultAdapter(android.content.Context) . NdefMessage Represents an NDEF data message which is the standard format in which ""records""
 carrying data are transmitted between devices and tags. Your application can receive these
 messages from an  ACTION_TAG_DISCOVERED  intent. NdefRecord Represents a record which is delivered in a  NdefMessage  and describes the
 type of data being shared and carries the data itself. Note: 
 Not all Android-powered devices provide NFC functionality.",no,no,0,no,no,no,no,
"<android.app.Activity: void setFeatureDrawable(int,Drawable)>",Convenience for calling Window.setFeatureDrawable(int Drawable) .,"featureId int |||
drawable Drawable |||",void,1,"An activity is a single focused thing that the user can do.  Almost all
 activities interact with the user so the Activity class takes care of
 creating a window for you in which you can place your UI with
  setContentView(View) .  While activities are often presented to the user
 as full-screen windows they can also be used in other ways: as floating
 windows (via a theme with  R.attr.windowIsFloating  set)
  
 Multi-Window mode  or embedded into other windows.

 There are two methods almost all subclasses of Activity will implement:

  onCreate(Bundle)  is where you initialize your activity.  Most
     importantly here you will usually call  setContentView(int) 
     with a layout resource defining your UI and using  findViewById(int) 
     to retrieve the widgets in that UI that you need to interact with
     programmatically.

      onPause()  is where you deal with the user pausing active
     interaction with the activity. Any changes made by the user should at
     this point be committed (usually to the
      ContentProvider  holding the data). In this
     state the activity is still visible on screen.
  To be of use with  Context.startActivity()  all
 activity classes must have a corresponding
  <activity> 
 declaration in their package's  AndroidManifest.xml . Topics covered here:
  Fragments Activity Lifecycle Configuration Changes Starting Activities and Getting Results Saving Persistent State Permissions Process Lifecycle","Contains high-level classes encapsulating the overall Android application model. An Android application is defined using one or more of Android's four core application
 components. Two such application components are defined in this package:  Activity  and  Service . The other two components are from the  android.content  package:  BroadcastReceiver  and  ContentProvider . An  Activity  is an application component that provides a screen with which
 users can interact in order to do something such as dial the phone take a photo send an email or
 view a map. An activity can start other activities including activities that live in separate
 applications. A  Service  is an application component that can perform
 long-running operations in the background without a user interface. For example a service
 can handle network transactions play music or work with a content provider without the user being
 aware of the work going on. The  Fragment  class is also an important part of an application's
 design—especially when designing for large screen devices such as tablets. A fragment defines
 a distinct part of an activity's behavior including the associated UI. It has its own lifecycle
 that is similar to that of the activity and can exist alongside other fragments that are embedded in
 the activity. While an activity is running you can add and remove fragments and include each
 fragment in a back stack that's managed by the activity—allowing the user to navigate
 backwards through the fragment states without leaving the activity. This package also defines application utilities such as dialogs notifications and the
 action bar. For information about using some the classes in this package see the following
 documents:  Activities   Services   Fragments   Using the Action Bar   Creating Dialogs  and  Notifying the User .",no,no,0,no,no,no,no,
<android.widget.TextView: void setTextKeepState(CharSequence)>,"Sets the text to be displayed but retains the cursor position. Same as setText(java.lang.CharSequence) except that the cursor position (if any) is retained in the
 new text.",text CharSequence : text to be displayed |||,void,1,"A user interface element that displays text to the user.
 To provide user-editable text see  EditText .
  
 The following code sample shows a typical use with an XML layout
 and code to modify the contents of the text view:
  
 <LinearLayout
      xmlns:android=""http://schemas.android.com/apk/res/android""
      android:layout_width=""match_parent""
      android:layout_height=""match_parent"">
    <TextView
        android:id=""@+id/text_view_id""
        android:layout_height=""wrap_content""
        android:layout_width=""wrap_content""
        android:text=""@string/hello"" />
 </LinearLayout>
  
 This code sample demonstrates how to modify the contents of the text view
 defined in the previous XML layout:
  
 public class MainActivity extends Activity {

    protected void onCreate(Bundle savedInstanceState) {
         super.onCreate(savedInstanceState);
         setContentView(R.layout.activity_main);
         final TextView helloTextView = (TextView) findViewById(R.id.text_view_id);
         helloTextView.setText(R.string.user_greeting);
     }
 }
  
 To customize the appearance of TextView see  Styles and Themes .
  XML attributes 
 See  TextView Attributes 
  View Attributes","The widget package contains (mostly visual) UI elements to use
 on your Application screen. You can also design your own.
  
 To create your own widget extend  View  or a subclass. To
 use your widget in layout XML there are two additional files for you to
 create. Here is a list of files you'll need to create to implement a custom
 widget:
  Java implementation file  - This is the file that implements the
 behavior of the widget. If you can instantiate the object from layout XML
 you will also have to code a constructor that retrieves all the attribute
 values from the layout XML file. XML definition file  - An XML file in res/values/ that defines
 the XML element used to instantiate your widget and the attributes that it
 supports. Other applications will use this element and attributes in their in
 another in their layout XML. Layout XML  [ optional ]- An optional XML file inside
 res/layout/ that describes the layout of your widget. You could also do
 this in code in your Java file. 
 ApiDemos sample application has an example of creating a custom layout XML
 tag LabelView. See the following files that demonstrate implementing and using
 a custom widget:
  LabelView.java  - The implementation file res/values/attrs.xml  - Definition file res/layout/custom_view_1.xml  - Layout file",uncategorized,yes,1,no,yes,no,SINK,
<android.widget.Toast: void cancel()>,"Close the view if it's showing or don't show it if it isn't showing yet.
 You do not normally have to call this.  Normally view will disappear on its own
 after the appropriate duration.",,void,1,"A toast is a view containing a quick little message for the user.  The toast class
 helps you create and show those.
  
 When the view is shown to the user appears as a floating view over the
 application.  It will never receive focus.  The user will probably be in the
 middle of typing something else.  The idea is to be as unobtrusive as
 possible while still showing the user the information you want them to see.
 Two examples are the volume control and the brief message saying that your
 settings have been saved.
  
 The easiest way to use this class is to call one of the static methods that constructs
 everything you need and returns a new Toast object.","The widget package contains (mostly visual) UI elements to use
 on your Application screen. You can also design your own.
  
 To create your own widget extend  View  or a subclass. To
 use your widget in layout XML there are two additional files for you to
 create. Here is a list of files you'll need to create to implement a custom
 widget:
  Java implementation file  - This is the file that implements the
 behavior of the widget. If you can instantiate the object from layout XML
 you will also have to code a constructor that retrieves all the attribute
 values from the layout XML file. XML definition file  - An XML file in res/values/ that defines
 the XML element used to instantiate your widget and the attributes that it
 supports. Other applications will use this element and attributes in their in
 another in their layout XML. Layout XML  [ optional ]- An optional XML file inside
 res/layout/ that describes the layout of your widget. You could also do
 this in code in your Java file. 
 ApiDemos sample application has an example of creating a custom layout XML
 tag LabelView. See the following files that demonstrate implementing and using
 a custom widget:
  LabelView.java  - The implementation file res/values/attrs.xml  - Definition file res/layout/custom_view_1.xml  - Layout file",no,no,0,no,no,no,no,
<android.telephony.gsm.SmsManager: ArrayList divideMessage(String)>,"This method was deprecated
      in API level 4. Use android.telephony.SmsManager. Divide a text message into several messages none bigger than
 the maximum SMS message size.",text String : the original message.  Must not be null. |||,"ArrayList < String > an ArrayList of strings that in order
   comprise the original message |||",1,"Manages SMS operations such as sending data text and pdu SMS messages.
 Get this object by calling the static method SmsManager.getDefault().",,sms message,no,0,no,no,no,no,
<android.location.LocationManager: LocationProvider getProvider(String)>,"Returns the information about the location provider with the given name or null if no
 provider exists by that name.",provider String : a provider listed by getAllProviders() This value must never be null . |||,LocationProvider location provider information or null if provider does not exist |||,1,"A data class representing a geographic location.

  A location can consist of a latitude longitude timestamp
 and other information such as bearing altitude and velocity.

  All locations generated by the  LocationManager  are
 guaranteed to have a valid latitude longitude and timestamp
 (both UTC time and elapsed real-time since boot) all other
 parameters are optional.","Contains the framework API classes that define Android location-based and
 	related services. This API is not the recommended method for accessing Android location. 
 The
  Google Location Services API 
 part of Google Play services is the preferred way to add location-awareness to
 your app. It offers a simpler API higher accuracy low-power geofencing and
 more. If you are currently using the android.location API you are strongly
 encouraged to switch to the Google Location Services API as soon as
 possible.
  
 To learn more about the Google Location Services API see the
  Location API overview .",no,location sensors,0,no,no,no,no,
"<android.content.ContentResolver: Object addStatusChangeListener(int,SyncStatusObserver)>","Request notifications when the different aspects of the SyncManager change. The
 different items that can be requested are: SYNC_OBSERVER_TYPE_PENDING 
SYNC_OBSERVER_TYPE_ACTIVE 
SYNC_OBSERVER_TYPE_SETTINGS","mask int : the status change types that will cause the callback to be invoked |||
callback SyncStatusObserver : observer to be invoked when the status changes |||",Object a handle that can be used to remove the listener at a later time |||,5,This class provides applications access to the content model.,"Contains classes for accessing and publishing data on a device.  It includes three main
 categories of APIs: Content sharing ( android.content ) For sharing content between application components. The most important classes are:
      ContentProvider  and  ContentResolver 
   for managing and publishing persistent data associated with an application. Intent  and  IntentFilter  for delivering
   structured messages between different application components—allowing components to initiate
   other components and return results. Package management ( android.content.pm ) For accessing information about an Android package (an  .apk ) including information
 about its activities permissions services signatures and providers. The most important class for
 accessing this information is  PackageManager . Resource management ( android.content.res ) For retrieving resource data associated with an application such as strings drawables
 media and device configuration details. The most important class for accessing this data is  Resources .",no,no,0,no,no,no,no,not sure
<android.os.PowerManager: void reboot(String)>,Reboot the device.  Will not return if the reboot is successful. Requires the Manifest.permission.REBOOT permission.,"reason String : code to pass to the kernel (e.g. ""recovery"") to
request special boot modes or null.
This value may be null . |||",void,8,"This class gives you control of the power state of the device.

  Device battery life will be significantly affected by the use of this API. 
 Do not acquire  WakeLock s unless you really need them use the minimum levels
 possible and be sure to release them as soon as possible.
  
 The primary API you'll use is  newWakeLock() .
 This will create a  PowerManager.WakeLock  object.  You can then use methods
 on the wake lock object to control the power state of the device.
  
 In practice it's quite simple:
  PowerManager pm = (PowerManager) getSystemService(Context.POWER_SERVICE);
 PowerManager.WakeLock wl = pm.newWakeLock(PowerManager.SCREEN_DIM_WAKE_LOCK ""My Tag"");
 wl.acquire();
   ..screen will stay on during this section..
 wl.release();
  
 The following wake lock levels are defined with varying effects on system power.
  These levels are mutually exclusive - you may only specify one of them. Flag Value CPU Screen Keyboard PARTIAL_WAKE_LOCK On* Off Off SCREEN_DIM_WAKE_LOCK On Dim Off SCREEN_BRIGHT_WAKE_LOCK On Bright Off FULL_WAKE_LOCK On Bright Bright 
 * If you hold a partial wake lock the CPU will continue to run regardless of any
 display timeouts or the state of the screen and even after the user presses the power button.
 In all other wake locks the CPU will run but the user can still put the device to sleep
 using the power button. 
 In addition you can add two more flags which affect behavior of the screen only.
  These flags have no effect when combined with a  PARTIAL_WAKE_LOCK . Flag Value Description ACQUIRE_CAUSES_WAKEUP Normal wake locks don't actually turn on the illumination.  Instead they cause
         the illumination to remain on once it turns on (e.g. from user activity).  This flag
         will force the screen and/or keyboard to turn on immediately when the WakeLock is
         acquired.  A typical use would be for notifications which are important for the user to
         see immediately. ON_AFTER_RELEASE If this flag is set the user activity timer will be reset when the WakeLock is
         released causing the illumination to remain on a bit longer.  This can be used to
         reduce flicker if you are cycling between wake lock conditions. 
 Any application using a WakeLock must request the  android.permission.WAKE_LOCK 
 permission in an  <uses-permission>  element of the application's manifest.",,no,no,0,no,no,no,no,
<android.util.LruCache: void resize(int)>,Sets the size of the cache.,maxSize int : The new maximum size. |||,void,21,"A cache that holds strong references to a limited number of values. Each time
 a value is accessed it is moved to the head of a queue. When a value is
 added to a full cache the value at the end of that queue is evicted and may
 become eligible for garbage collection.

  If your cached values hold resources that need to be explicitly released
 override  entryRemoved(boolean K V V) .

  If a cache miss should be computed on demand for the corresponding keys
 override  create(K) . This simplifies the calling code allowing it to
 assume a value will always be returned even when there's a cache miss.

  By default the cache size is measured in the number of entries. Override
  sizeOf(K V)  to size the cache in different units. For example this cache
 is limited to 4MiB of bitmaps:
  int cacheSize = 4 * 1024 * 1024; // 4MiB
   LruCache<String Bitmap> bitmapCache = new LruCache<String Bitmap>(cacheSize) {
       protected int sizeOf(String key Bitmap value) {
           return value.getByteCount();
       }
   } This class is thread-safe. Perform multiple cache operations atomically by
 synchronizing on the cache:  synchronized (cache) {
     if (cache.get(key) == null) {
         cache.put(key value);
     }
   } This class does not allow null to be used as a key or value. A return
 value of null from  get(K)   put(K V)  or  remove(K)  is
 unambiguous: the key was not in the cache.

  This class appeared in Android 3.1 (Honeycomb MR1); it's available as part
 of  Android's
 Support Package  for earlier releases.",,no,no,0,no,no,no,no,
"<android.content.res.Resources: float getFraction(int,int,int)>",Retrieve a fractional unit for a particular resource ID.,"id int : The desired resource identifier as generated by the aapt
tool. This integer encodes the package type and resource
entry. The value 0 is an invalid identifier. |||
base int : The base value of this fraction.  In other words a
standard fraction is multiplied by this value. |||
pbase int : The parent base value of this fraction.  In other
words a parent fraction (nn%p) is multiplied by this
value. |||","float Attribute fractional value multiplied by the appropriate
 base value. |||",3,"Class for accessing an application's resources.  This sits on top of the
 asset manager of the application (accessible through  getAssets() ) and
 provides a high-level API for getting typed data from the assets.

  The Android resource system keeps track of all non-code assets associated with an
 application. You can use this class to access your application's resources. You can generally
 acquire the  Resources  instance associated with your application
 with  getResources() . The Android SDK tools compile your application's resources into the application binary
 at build time.  To use a resource you must install it correctly in the source tree (inside
 your project's  res/  directory) and build your application.  As part of the build
 process the SDK tools generate symbols for each resource which you can use in your application
 code to access the resources. Using application resources makes it easy to update various characteristics of your
 application without modifying code and—by providing sets of alternative
 resources—enables you to optimize your application for a variety of device configurations
 (such as for different languages and screen sizes). This is an important aspect of developing
 Android applications that are compatible on different types of devices. For more information about using resources see the documentation about  Application Resources .","Contains classes for accessing and publishing data on a device.  It includes three main
 categories of APIs: Content sharing ( android.content ) For sharing content between application components. The most important classes are:
      ContentProvider  and  ContentResolver 
   for managing and publishing persistent data associated with an application. Intent  and  IntentFilter  for delivering
   structured messages between different application components—allowing components to initiate
   other components and return results. Package management ( android.content.pm ) For accessing information about an Android package (an  .apk ) including information
 about its activities permissions services signatures and providers. The most important class for
 accessing this information is  PackageManager . Resource management ( android.content.res ) For retrieving resource data associated with an application such as strings drawables
 media and device configuration details. The most important class for accessing this data is  Resources .",no,no,0,no,no,no,no,
"<android.app.Activity: void startActivity(Intent,Bundle)>","Launch a new activity.  You will not receive any information about when
 the activity exits.  This implementation overrides the base version
 providing information about
 the activity performing the launch.  Because of this additional
 information the Intent#FLAG_ACTIVITY_NEW_TASK launch flag is not
 required; if not specified the new activity will be added to the
 task of the caller. This method throws ActivityNotFoundException if there was no Activity found to run the given Intent.","intent Intent : The intent to start. |||
options Bundle : Additional options for how the Activity should be started.
See Context.startActivity(Intent Bundle) Context.startActivity(Intent Bundle)} for more details.
This value may be null . |||",void,16,"An activity is a single focused thing that the user can do.  Almost all
 activities interact with the user so the Activity class takes care of
 creating a window for you in which you can place your UI with
  setContentView(View) .  While activities are often presented to the user
 as full-screen windows they can also be used in other ways: as floating
 windows (via a theme with  R.attr.windowIsFloating  set)
  
 Multi-Window mode  or embedded into other windows.

 There are two methods almost all subclasses of Activity will implement:

  onCreate(Bundle)  is where you initialize your activity.  Most
     importantly here you will usually call  setContentView(int) 
     with a layout resource defining your UI and using  findViewById(int) 
     to retrieve the widgets in that UI that you need to interact with
     programmatically.

      onPause()  is where you deal with the user pausing active
     interaction with the activity. Any changes made by the user should at
     this point be committed (usually to the
      ContentProvider  holding the data). In this
     state the activity is still visible on screen.
  To be of use with  Context.startActivity()  all
 activity classes must have a corresponding
  <activity> 
 declaration in their package's  AndroidManifest.xml . Topics covered here:
  Fragments Activity Lifecycle Configuration Changes Starting Activities and Getting Results Saving Persistent State Permissions Process Lifecycle","Contains high-level classes encapsulating the overall Android application model. An Android application is defined using one or more of Android's four core application
 components. Two such application components are defined in this package:  Activity  and  Service . The other two components are from the  android.content  package:  BroadcastReceiver  and  ContentProvider . An  Activity  is an application component that provides a screen with which
 users can interact in order to do something such as dial the phone take a photo send an email or
 view a map. An activity can start other activities including activities that live in separate
 applications. A  Service  is an application component that can perform
 long-running operations in the background without a user interface. For example a service
 can handle network transactions play music or work with a content provider without the user being
 aware of the work going on. The  Fragment  class is also an important part of an application's
 design—especially when designing for large screen devices such as tablets. A fragment defines
 a distinct part of an activity's behavior including the associated UI. It has its own lifecycle
 that is similar to that of the activity and can exist alongside other fragments that are embedded in
 the activity. While an activity is running you can add and remove fragments and include each
 fragment in a back stack that's managed by the activity—allowing the user to navigate
 backwards through the fragment states without leaving the activity. This package also defines application utilities such as dialogs notifications and the
 action bar. For information about using some the classes in this package see the following
 documents:  Activities   Services   Fragments   Using the Action Bar   Creating Dialogs  and  Notifying the User .",IPC,IPC,1,no,yes,no,SINK,
