,SS GroundT,Cat GroundT,Description,Return,Parameters,ApiLevel
<android.text.PrecomputedText: void removeSpan(Object)>,,,"Remove the specified object from the range of text to which it
 was attached if any.  It is OK to remove an object that was never
 attached in the first place.",void,what Object |||,28.0
"<android.bluetooth.BluetoothHidDevice.Callback: void onAppStatusChanged(BluetoothDevice,boolean)>",,,"Callback called when application registration state changes. Usually it's called due to
 either BluetoothHidDevice#registerApp or BluetoothHidDevice#unregisterApp() but can be also
 unsolicited in case e.g. Bluetooth was turned off in which case application is
 unregistered automatically.",void,"pluggedDevice BluetoothDevice : BluetoothDevice object which represents host that currently
has Virtual Cable established with device. Only valid when application is registered
can be null . |||
registered boolean : true if application is registered false otherwise. |||",28.0
<android.media.audiofx.DynamicsProcessing.Channel: DynamicsProcessing.Eq getPreEq()>,,,Gets PreEq configuration stage,DynamicsProcessing.Eq PreEq configuration stage |||,,28.0
<android.telephony.data.ApnSetting.Builder: ApnSetting.Builder setMvnoType(int)>,,,Sets the MVNO match type for this APN.,ApnSetting.Builder This value will never be null . |||,"mvnoType int : the MVNO match type to set for this APN
Value is ApnSetting.MVNO_TYPE_SPN  ApnSetting.MVNO_TYPE_IMSI  ApnSetting.MVNO_TYPE_GID or ApnSetting.MVNO_TYPE_ICCID |||",28.0
<android.app.Person: CharSequence getName()>,,,,CharSequence the name provided for this person or null if no name was provided. |||,,28.0
<android.view.View: int getSourceLayoutResId()>,,,"A View can be inflated from an XML layout. For such Views this method returns the
 resource ID of the source layout.",int The layout resource id if this view was inflated from XML otherwise Resources#ID_NULL . |||,,29.0
<android.graphics.RenderNode: int getRight()>,,,Gets the right position for the RenderNode.,int the right position in pixels |||,,29.0
<android.media.AudioRecord: void unregisterAudioRecordingCallback(AudioManager.AudioRecordingCallback)>,,,Unregister an audio recording callback previously registered with registerAudioRecordingCallback(java.util.concurrent.Executor android.media.AudioManager.AudioRecordingCallback) .,void,"cb AudioManager.AudioRecordingCallback : non-null callback to unregister
This value must never be null . |||",29.0
"<android.net.wifi.p2p.WifiP2pManager: void createGroup(WifiP2pManager.Channel,WifiP2pConfig,WifiP2pManager.ActionListener)>",,,"Create a p2p group with the current device as the group owner. This essentially creates
 an access point that can accept connections from legacy clients as well as other p2p
 devices. An app should use WifiP2pConfig.Builder to build the configuration
 for a group. Note: This function would normally not be used unless the current device needs
 to form a p2p group as a Group Owner and allow peers to join it as either
 Group Clients or legacy Wi-Fi STAs. The function call immediately returns after sending a group creation request
 to the framework. The application is notified of a success or failure to initiate
 group creation through listener callbacks ActionListener#onSuccess or ActionListener#onFailure . Application can request for the group details with requestGroupInfo(WifiP2pManager.Channel WifiP2pManager.GroupInfoListener) . Requires Manifest.permission.ACCESS_FINE_LOCATION",void,"c WifiP2pManager.Channel : is the channel created at initialize(Context Looper WifiP2pManager.ChannelListener) .
This value must never be null . |||
config WifiP2pConfig : the configuration of a p2p group.
This value may be null . |||
listener WifiP2pManager.ActionListener : for callbacks on success or failure. Can be null.
This value may be null . |||",29.0
<android.telephony.euicc.DownloadableSubscription: int describeContents()>,,,"Describe the kinds of special objects contained in this Parcelable
 instance's marshaled representation. For example if the object will
 include a file descriptor in the output of writeToParcel(android.os.Parcel int) the return value of this method must include the CONTENTS_FILE_DESCRIPTOR bit.","int a bitmask indicating the set of special object types marshaled
 by this Parcelable object instance.
 
 Value is either 0 or CONTENTS_FILE_DESCRIPTOR |||",,28.0
<android.content.pm.ModuleInfo: String getPackageName()>,,,Gets the package name of this module.,String This value may be null . |||,,29.0
"<android.telephony.MbmsDownloadSession: MbmsDownloadSession create(Context,Executor,MbmsDownloadSessionCallback)>",,,"Create a new MbmsDownloadSession using the system default data subscription ID.
 See create(android.content.Context java.util.concurrent.Executor int android.telephony.mbms.MbmsDownloadSessionCallback)",MbmsDownloadSession |||,"context Context : This value must never be null . |||
executor Executor : This value must never be null . |||
callback MbmsDownloadSessionCallback : This value must never be null . |||",28.0
"<android.media.audiofx.DynamicsProcessing.Config: void setPreEqBandAllChannelsTo(int,DynamicsProcessing.EqBand)>",,,,void,"band int |||
preEqBand DynamicsProcessing.EqBand |||",28.0
<android.graphics.ImageDecoder: void setPostProcessor(PostProcessor)>,,,"Modify the image after decoding and scaling. This allows adding effects prior to returning a Drawable or Bitmap . For a Drawable or an immutable Bitmap this is the only way to process the image after decoding. If combined with setTargetSize(int int) and/or setCrop(Rect)  PostProcessor#onPostProcess occurs last. If set on a nine-patch image the nine-patch data is ignored. For an animated image the drawing commands drawn on the Canvas will be recorded immediately and then applied to each
  frame. Like all setters on ImageDecoder this must be called inside OnHeaderDecodedListener#onHeaderDecoded .",void,postProcessor PostProcessor : This value may be null . |||,28.0
<android.text.StaticLayout.Builder: StaticLayout.Builder setUseLineSpacingFromFallbacks(boolean)>,,,"Set whether to respect the ascent and descent of the fallback fonts that are used in
 displaying the text (which is needed to avoid text from consecutive lines running into
 each other). If set fallback fonts that end up getting used can increase the ascent
 and descent of the lines that they are used on. For backward compatibility reasons the default is false but setting this to
 true is strongly recommended. It is required to be true if text could be in languages
 like Burmese or Tibetan where text is typically much taller or deeper than Latin text.","StaticLayout.Builder this builder useful for chaining
 
 This value will never be null . |||",useLineSpacingFromFallbacks boolean : whether to expand linespacing based on fallback fonts |||,28.0
<android.icu.util.LocaleData.PaperSize: int getHeight()>,,,Retruns the height of the paper,int the height |||,,28.0
<android.media.MediaCodec: void setAudioPresentation(AudioPresentation)>,,,Sets the audio presentation.,void,"presentation AudioPresentation : see AudioPresentation . In particular id should be set.
This value must never be null . |||",29.0
<android.telephony.MbmsDownloadSession: void download(DownloadRequest)>,,,"Requests the download of a file or set of files that the carrier has indicated to be
 available.

 May throw an IllegalArgumentException If setTempFileRootDirectory(java.io.File) has not called after the app has been installed
 this method will create a directory at the default location defined at MbmsDownloadSession#DEFAULT_TOP_LEVEL_TEMP_DIRECTORY and store that as the temp
 file root directory.

 If the DownloadRequest has a destination that is not on the same filesystem as the
 temp file directory provided via getTempFileRootDirectory() an IllegalArgumentException will be thrown.

 Asynchronous errors through the callback may include any error not specific to the
 streaming use-case.

 If no error is delivered via the callback after calling this method that means that the
 middleware has successfully started the download or scheduled the download if the download
 is at a future time.",void,"request DownloadRequest : The request that specifies what should be downloaded.
This value must never be null . |||",28.0
<android.view.textclassifier.TextLinks: Bundle getExtras()>,,,Returns the extended data. NOTE: Do not modify this bundle.,Bundle This value will never be null . |||,,29.0
<android.view.textclassifier.ConversationActions.Request.Builder: ConversationActions.Request.Builder setTypeConfig(TextClassifier.EntityConfig)>,,,Sets the type config.,ConversationActions.Request.Builder This value will never be null . |||,typeConfig TextClassifier.EntityConfig : This value may be null . |||,29.0
<android.view.textclassifier.SelectionEvent: TextClassificationSessionId getSessionId()>,,,Returns the selection session id.,TextClassificationSessionId This value may be null . |||,,28.0
<android.widget.Magnifier: Drawable getOverlay()>,,,Returns the overlay to be drawn on the top of the magnifier or null if no overlay should be drawn.,Drawable the overlay |||,,29.0
<android.telecom.Conference: void setConnectionStartElapsedRealTime(long)>,,,"This method was deprecated
      in API level R. use setConnectionStartElapsedRealtimeMillis(long) instead. Sets the start time of the Conference which is the basis for the determining the
 duration of the Conference . You should use a value returned by SystemClock#elapsedRealtime() to ensure that time
 zone changes do not impact the conference duration. When setting this you should also set the connection time via setConnectionTime(long) .",void,connectionStartElapsedRealTime long : The connection time as measured by SystemClock#elapsedRealtime() . |||,28.0
<android.accessibilityservice.AccessibilityServiceInfo: void setInteractiveUiTimeoutMillis(int)>,,,"Set the recommended time that interactive controls need to remain on the screen to
 support the user. This value can be dynamically set at runtime by AccessibilityService#setServiceInfo(AccessibilityServiceInfo) .",void,"timeout int : The timeout in milliseconds.
Value is 0 or greater |||",29.0
<android.app.UiAutomation: void dropShellPermissionIdentity()>,,,"Drop the shell permission identity adopted by a previous call to adoptShellPermissionIdentity() . If you did not adopt the shell permission
 identity this method would be a no-op.",void,,29.0
<android.text.style.LineHeightSpan.Standard: int describeContents()>,,,"Describe the kinds of special objects contained in this Parcelable
 instance's marshaled representation. For example if the object will
 include a file descriptor in the output of writeToParcel(android.os.Parcel int) the return value of this method must include the CONTENTS_FILE_DESCRIPTOR bit.","int a bitmask indicating the set of special object types marshaled
 by this Parcelable object instance.
 
 Value is either 0 or CONTENTS_FILE_DESCRIPTOR |||",,29.0
<android.view.textclassifier.TextClassifier.EntityConfig: TextClassifier.EntityConfig createWithExplicitEntityList(Collection)>,,,"This method was deprecated
      in API level 29. Use Builder instead. Creates an EntityConfig with an explicit entity list.",TextClassifier.EntityConfig |||,"entityTypes Collection : Complete set of entities e.g. TextClassifier.TYPE_URL to find.
This value may be null . |||",28.0
<android.view.textclassifier.ConversationActions: List getConversationActions()>,,,"Returns an immutable list of ConversationAction objects which are ordered from high
 confidence to low confidence.",List < ConversationAction > This value will never be null . |||,,29.0
<android.net.NetworkCapabilities: int getSignalStrength()>,,,Retrieves the signal strength.,int The bearer-specific signal strength. |||,,29.0
<android.opengl.EGLImage: boolean equals(Object)>,,,"Indicates whether some other object is ""equal to"" this one. The equals method implements an equivalence relation
 on non-null object references: It is reflexive : for any non-null reference value x  x.equals(x) should return true . 
It is symmetric : for any non-null reference values x and y  x.equals(y) should return true if and only if y.equals(x) returns true . 
It is transitive : for any non-null reference values x  y and z if x.equals(y) returns true and y.equals(z) returns true then x.equals(z) should return true . 
It is consistent : for any non-null reference values x and y multiple invocations of x.equals(y) consistently return true or consistently return false provided no
     information used in equals comparisons on the
     objects is modified. 
For any non-null reference value x  x.equals(null) should return false . 
The equals method for class Object implements
 the most discriminating possible equivalence relation on objects;
 that is for any non-null reference values x and y this method returns true if and only
 if x and y refer to the same object
 ( x == y has the value true ). Note that it is generally necessary to override the hashCode method whenever this method is overridden so as to maintain the
 general contract for the hashCode method which states
 that equal objects must have equal hash codes.","boolean true if this object is the same as the obj
          argument; false otherwise. |||",o Object : the reference object with which to compare. |||,29.0
<android.telephony.CellIdentityNr: long getNci()>,,,Get the NR(New Radio 5G) Cell Identity.,long The 36-bit NR Cell Identity in range [0 68719476735] or CellInfo#UNAVAILABLE_LONG if unknown. |||,,29.0
<android.graphics.ImageDecoder: void setAllocator(int)>,,,Choose the backing for the pixel memory. This is ignored for animated drawables. Like all setters on ImageDecoder this must be called inside OnHeaderDecodedListener#onHeaderDecoded .,void,"allocator int : Type of allocator to use.
Value is ALLOCATOR_DEFAULT  ALLOCATOR_SOFTWARE  ALLOCATOR_SHARED_MEMORY or ALLOCATOR_HARDWARE |||",28.0
<android.media.audiofx.DynamicsProcessing: float getInputGainByChannelIndex(int)>,,,,float |||,channelIndex int |||,28.0
<android.app.admin.SystemUpdatePolicy: List getFreezePeriods()>,,,Returns the list of freeze periods previously set on this system update policy object.,List < FreezePeriod > the list of freeze periods or an empty list if none was set. |||,,28.0
<android.hardware.camera2.CameraDevice: void createCaptureSession(SessionConfiguration)>,,,"Create a new CameraCaptureSession using a SessionConfiguration helper
 object that aggregates all supported parameters. The active capture session determines the set of potential output Surfaces for
 the camera device for each capture request. A given request may use all
 or only some of the outputs. Once the CameraCaptureSession is created requests can be
 submitted with CameraCaptureSession#capture  CameraCaptureSession#captureBurst  CameraCaptureSession#setRepeatingRequest or CameraCaptureSession#setRepeatingBurst . Surfaces suitable for inclusion as a camera output can be created for
 various use cases and targets: For drawing to a SurfaceView : Once the SurfaceView's
   Surface is created set the size
   of the Surface with SurfaceHolder.setFixedSize(int int) to be one of the sizes
   returned by StreamConfigurationMap#getOutputSizes(Class) and then obtain the Surface by calling SurfaceHolder.getSurface() . If the size is not set by the application it will
   be rounded to the nearest supported size less than 1080p by the camera device. 
For accessing through an OpenGL texture via a SurfaceTexture : Set the size of the SurfaceTexture with SurfaceTexture.setDefaultBufferSize(int int) to be one of the sizes returned by StreamConfigurationMap#getOutputSizes(Class) before creating a Surface from the SurfaceTexture with Surface#Surface . If the size
   is not set by the application it will be set to be the smallest supported size less than
   1080p by the camera device. 
For recording with MediaCodec : Call MediaCodec.createInputSurface() after configuring
   the media codec to use one of the sizes returned by StreamConfigurationMap#getOutputSizes(Class) 
For recording with MediaRecorder : Call MediaRecorder.getSurface() after configuring the media recorder to use
   one of the sizes returned by StreamConfigurationMap#getOutputSizes(Class) or configuring it to use one of the supported CamcorderProfiles . 
For efficient YUV processing with android.renderscript :
   Create a RenderScript Allocation with a supported YUV
   type the IO_INPUT flag and one of the sizes returned by StreamConfigurationMap#getOutputSizes(Class) Then obtain the Surface with Allocation.getSurface() . 
For access to RAW uncompressed YUV or compressed JPEG data in the application: Create an ImageReader object with one of the supported output formats given by StreamConfigurationMap#getOutputFormats() setting its size to one of the
   corresponding supported sizes by passing the chosen output format into StreamConfigurationMap#getOutputSizes(int) . Then obtain a Surface from it with ImageReader.getSurface() .
   If the ImageReader size is not set to a supported size it will be rounded to a supported
   size less than 1080p by the camera device. 
The camera device will query each Surface's size and formats upon this
 call so they must be set to a valid setting at this time. It can take several hundred milliseconds for the session's configuration to complete
 since camera hardware may need to be powered on or reconfigured. Once the configuration is
 complete and the session is ready to actually capture data the provided CameraCaptureSession.StateCallback 's CameraCaptureSession.StateCallback#onConfigured callback will be called. If a prior CameraCaptureSession already exists when this method is called the previous
 session will no longer be able to accept new capture requests and will be closed. Any
 in-progress capture requests made on the prior session will be completed before it's closed. CameraCaptureSession.StateCallback#onConfigured for the new session may be invoked
 before CameraCaptureSession.StateCallback#onClosed is invoked for the prior
 session. Once the new session is CameraCaptureSession.StateCallback#onConfigured it is able to start capturing its own requests. To minimize the transition time
 the CameraCaptureSession#abortCaptures call can be used to discard the remaining
 requests for the prior capture session before a new one is created. Note that once the new
 session is created the old one can no longer have its captures aborted. Using larger resolution outputs or more outputs can result in slower
 output rate from the device. Configuring a session with an empty or null list will close the current session if
 any. This can be used to release the current session's target surfaces for another use. While any of the sizes from StreamConfigurationMap#getOutputSizes can be used when
 a single output stream is configured a given camera device may not be able to support all
 combination of sizes formats and targets when multiple outputs are configured at once.  The
 tables below list the maximum guaranteed resolutions for combinations of streams and targets
 given the capabilities of the camera device. These are valid for when the input configuration is not set and therefore no reprocessing is active. If an application tries to create a session using a set of targets that exceed the limits
 described in the below tables one of three possibilities may occur. First the session may
 be successfully created and work normally. Second the session may be successfully created
 but the camera device won't meet the frame rate guarantees as described in StreamConfigurationMap#getOutputMinFrameDuration . Or third if the output set
 cannot be used at all session creation will fail entirely with CameraCaptureSession.StateCallback#onConfigureFailed being invoked. For the type column PRIV refers to any target whose available sizes are found
 using StreamConfigurationMap#getOutputSizes(Class) with no direct application-visible
 format YUV refers to a target Surface using the ImageFormat.YUV_420_888 format JPEG refers to the ImageFormat.JPEG format and RAW refers to the ImageFormat.RAW_SENSOR format. For the maximum size column PREVIEW refers to the best size match to the
 device's screen resolution or to 1080p ( 1920x1080 ) whichever is
 smaller. RECORD refers to the camera device's maximum supported recording resolution
 as determined by CamcorderProfile . And MAXIMUM refers to the
 camera device's maximum output resolution for that format or target from StreamConfigurationMap#getOutputSizes . To use these tables determine the number and the formats/targets of outputs needed and
 find the row(s) of the table with those targets. The sizes indicate the maximum set of sizes
 that can be used; it is guaranteed that for those targets the listed sizes and anything
 smaller from the list given by StreamConfigurationMap#getOutputSizes can be
 successfully used to create a session.  For example if a row indicates that a 8 megapixel
 (MP) YUV_420_888 output can be used together with a 2 MP PRIV output then a session
 can be created with targets [8 MP YUV 2 MP PRIV] or targets [2 MP YUV 2 MP
 PRIV] ; but a session with targets [8 MP YUV 4 MP PRIV] targets [4 MP YUV 4
 MP PRIV] or targets [8 MP PRIV 2 MP YUV] would not be guaranteed to work unless
 some other row of the table lists such a combination. Legacy devices ( CameraCharacteristics#INFO_SUPPORTED_HARDWARE_LEVEL == CameraMetadata#INFO_SUPPORTED_HARDWARE_LEVEL_LEGACY ) support at
 least the following stream combinations: Limited-level ( CameraCharacteristics#INFO_SUPPORTED_HARDWARE_LEVEL == CameraMetadata#INFO_SUPPORTED_HARDWARE_LEVEL_LIMITED ) devices
 support at least the following stream combinations in addition to those for CameraMetadata#INFO_SUPPORTED_HARDWARE_LEVEL_LEGACY devices: FULL-level ( CameraCharacteristics#INFO_SUPPORTED_HARDWARE_LEVEL == CameraMetadata#INFO_SUPPORTED_HARDWARE_LEVEL_FULL ) devices
 support at least the following stream combinations in addition to those for CameraMetadata#INFO_SUPPORTED_HARDWARE_LEVEL_LIMITED devices: RAW-capability ( CameraCharacteristics#REQUEST_AVAILABLE_CAPABILITIES includes CameraMetadata#REQUEST_AVAILABLE_CAPABILITIES_RAW ) devices additionally support
 at least the following stream combinations on both CameraMetadata#INFO_SUPPORTED_HARDWARE_LEVEL_FULL and CameraMetadata#INFO_SUPPORTED_HARDWARE_LEVEL_LIMITED devices: BURST-capability ( CameraCharacteristics#REQUEST_AVAILABLE_CAPABILITIES includes CameraMetadata#REQUEST_AVAILABLE_CAPABILITIES_BURST_CAPTURE ) devices
 support at least the below stream combinations in addition to those for CameraMetadata#INFO_SUPPORTED_HARDWARE_LEVEL_LIMITED devices. Note that all
 FULL-level devices support the BURST capability and the below list is a strict subset of the
 list for FULL-level devices so this table is only relevant for LIMITED-level devices that
 support the BURST_CAPTURE capability. LEVEL-3 ( CameraCharacteristics#INFO_SUPPORTED_HARDWARE_LEVEL == CameraMetadata#INFO_SUPPORTED_HARDWARE_LEVEL_3 )
 support at least the following stream combinations in addition to the combinations for CameraMetadata#INFO_SUPPORTED_HARDWARE_LEVEL_FULL and for
 RAW capability ( CameraCharacteristics#REQUEST_AVAILABLE_CAPABILITIES includes CameraMetadata#REQUEST_AVAILABLE_CAPABILITIES_RAW ): Devices capable of streaming concurrently with other devices as described by CameraManager.getConcurrentStreamingCameraIds() have the
 following guaranteed streams (when streaming concurrently with other devices) For guaranteed concurrent stream configurations: s720p refers to the camera device's resolution for that format from StreamConfigurationMap#getOutputSizes or
 720p(1280X720) whichever is lower. s1440p refers to the camera device's resolution for that format from StreamConfigurationMap#getOutputSizes or
 1440p(1920X1440) whichever is lower. MONOCHROME-capability ( CameraCharacteristics#REQUEST_AVAILABLE_CAPABILITIES includes CameraMetadata#REQUEST_AVAILABLE_CAPABILITIES_MONOCHROME ) devices
 supporting Y8 support substituting YUV streams with Y8 in all guaranteed stream combinations for the device's hardware level
 and capabilities. Devices capable of outputting HEIC formats ( StreamConfigurationMap#getOutputFormats contains ImageFormat.HEIC ) will support substituting JPEG streams with HEIC in all guaranteed stream combinations for the device's hardware
 level and capabilities. Calling createCaptureSession with both JPEG and HEIC outputs is not
 supported. Clients can access the above mandatory stream combination tables via MandatoryStreamCombination . Since the capabilities of camera devices vary greatly a given camera device may support
 target combinations with sizes outside of these guarantees but this can only be tested for
 by calling isSessionConfigurationSupported(SessionConfiguration) or attempting to create a session with
 such targets. Exception on 176x144 (QCIF) resolution:
 Camera devices usually have a fixed capability for downscaling from larger resolution to
 smaller and the QCIF resolution sometimes is not fully supported due to this
 limitation on devices with high-resolution image sensors. Therefore trying to configure a
 QCIF resolution stream together with any other stream larger than 1920x1080 resolution
 (either width or height) might not be supported and capture session creation will fail if it
 is not. If a camera device supports YUV reprocessing
 ( CameraCharacteristics#REQUEST_AVAILABLE_CAPABILITIES_YUV_REPROCESSING ) or PRIVATE
 reprocessing
 ( CameraCharacteristics#REQUEST_AVAILABLE_CAPABILITIES_PRIVATE_REPROCESSING ) the
 application can also create a reprocessable capture session to submit reprocess capture
 requests in addition to regular capture requests by setting an input configuration for the session. A reprocess capture request takes the next available
 buffer from the
 session's input Surface and sends it through the camera device's processing pipeline again
 to produce buffers for the request's target output Surfaces. No new image data is captured
 for a reprocess request. However the input buffer provided by the application must be
 captured previously by the same camera device in the same session directly (e.g. for
 Zero-Shutter-Lag use case) or indirectly (e.g. combining multiple output images). The active reprocessable capture session determines an input Surface and the set
 of potential output Surfaces for the camera devices for each capture request. The application
 can use createCaptureRequest to create regular capture requests
 to capture new images from the camera device and use createReprocessCaptureRequest to create reprocess capture requests to process buffers from
 the input Surface . Some combinations of output Surfaces in a session may not be used
 in a request simultaneously. The guaranteed combinations of output Surfaces that can be used
 in a request simultaneously are listed in the tables under createCaptureSession . All the output Surfaces in one capture request will come from the
 same source either from a new capture by the camera device or from the input Surface
 depending on if the request is a reprocess capture request. Input formats and sizes supported by the camera device can be queried via StreamConfigurationMap#getInputFormats and StreamConfigurationMap#getInputSizes . For each supported input format the camera
 device supports a set of output formats and sizes for reprocessing that can be queried via StreamConfigurationMap#getValidOutputFormatsForInput and StreamConfigurationMap#getOutputSizes . While output Surfaces with formats that
 aren't valid reprocess output targets for the input configuration can be part of a session
 they cannot be used as targets for a reprocessing request. Since the application cannot access ImageFormat.PRIVATE images
 directly an output Surface created by ImageReader.newInstance(int int int int) with ImageFormat.PRIVATE as the format will be considered as intended to
 be used for reprocessing input and thus the ImageReader size must
 match one of the supported input sizes for ImageFormat.PRIVATE format. Otherwise creating a reprocessable capture session will fail. Starting from API level 30 recreating a reprocessable capture session will flush all the
 queued but not yet processed buffers from the input surface. The configurations in the tables below are guaranteed for creating a reprocessable
 capture session if the camera device supports YUV reprocessing or PRIVATE reprocessing.
 However not all output targets used to create a reprocessable session may be used in a CaptureRequest simultaneously. For devices that support only 1 output target in a
 reprocess CaptureRequest submitting a reprocess CaptureRequest with multiple
 output targets will result in a CaptureFailure . For devices that support multiple
 output targets in a reprocess CaptureRequest the guaranteed output targets that can
 be included in a CaptureRequest simultaneously are listed in the tables under createCaptureSession . For example with a FULL-capability
 ( CameraCharacteristics#INFO_SUPPORTED_HARDWARE_LEVEL == CameraMetadata#INFO_SUPPORTED_HARDWARE_LEVEL_FULL ) device that supports PRIVATE
 reprocessing an application can create a reprocessable capture session with 1 input
 ( PRIV  MAXIMUM ) and 3 outputs ( PRIV  MAXIMUM )
 ( PRIV  PREVIEW ) and ( YUV  MAXIMUM ). However it's not
 guaranteed that an application can submit a regular or reprocess capture with ( PRIV  MAXIMUM ) and ( YUV  MAXIMUM ) outputs based on the table listed under createCaptureSession . In other words use the tables below to
 determine the guaranteed stream configurations for creating a reprocessable capture session
 and use the tables under createCaptureSession to determine the
 guaranteed output targets that can be submitted in a regular or reprocess CaptureRequest simultaneously. LIMITED-level ( CameraCharacteristics#INFO_SUPPORTED_HARDWARE_LEVEL == CameraMetadata#INFO_SUPPORTED_HARDWARE_LEVEL_LIMITED ) devices
 support at least the following stream combinations for creating a reprocessable capture
 session in addition to those listed earlier for regular captures for CameraMetadata#INFO_SUPPORTED_HARDWARE_LEVEL_LIMITED devices: FULL-level ( CameraCharacteristics#INFO_SUPPORTED_HARDWARE_LEVEL == CameraMetadata#INFO_SUPPORTED_HARDWARE_LEVEL_FULL ) devices
 support at least the following stream combinations for creating a reprocessable capture
 session in addition to those for CameraMetadata#INFO_SUPPORTED_HARDWARE_LEVEL_LIMITED devices: RAW-capability ( CameraCharacteristics#REQUEST_AVAILABLE_CAPABILITIES includes CameraMetadata#REQUEST_AVAILABLE_CAPABILITIES_RAW ) devices additionally support
 at least the following stream combinations for creating a reprocessable capture session
 on both CameraMetadata#INFO_SUPPORTED_HARDWARE_LEVEL_FULL and CameraMetadata#INFO_SUPPORTED_HARDWARE_LEVEL_LIMITED devices LEVEL-3 ( CameraCharacteristics#INFO_SUPPORTED_HARDWARE_LEVEL == CameraMetadata#INFO_SUPPORTED_HARDWARE_LEVEL_3 ) devices
 support at least the following stream combinations for creating a reprocessable capture
 session in addition to those for CameraMetadata#INFO_SUPPORTED_HARDWARE_LEVEL_FULL devices. Note that while
 the second configuration allows for configuring MAXIMUM YUV and JPEG outputs at the same time that configuration is not listed for regular capture sessions and
 therefore simultaneous output to both targets is not allowed. The application can use a normal capture session for high speed capture if the desired high speed FPS ranges are advertised by CameraCharacteristics#CONTROL_AE_AVAILABLE_TARGET_FPS_RANGES in which case all API
 semantics associated with normal capture sessions applies. A high-speed capture session can be use for high speed video recording (>=120fps) when the camera device supports high
 speed video capability (i.e. CameraCharacteristics#REQUEST_AVAILABLE_CAPABILITIES contains CameraMetadata#REQUEST_AVAILABLE_CAPABILITIES_CONSTRAINED_HIGH_SPEED_VIDEO ).
 A constrained high-speed capture session has special limitations compared with a normal
 capture session: In addition to the output target Surface requirements specified above for regular
   captures a high speed capture session will only support up to 2 output Surfaces though
   the application might choose to configure just one Surface (e.g. preview only). All
   Surfaces must be either video encoder surfaces (acquired by MediaRecorder.getSurface() or MediaCodec.createInputSurface() ) or preview surfaces (obtained from SurfaceView  SurfaceTexture via Surface.Surface(android.graphics.SurfaceTexture) ). The Surface sizes
   must be one of the sizes reported by StreamConfigurationMap#getHighSpeedVideoSizes .
   When multiple Surfaces are configured their size must be same. 
An active high speed capture session only accepts request lists created via CameraConstrainedHighSpeedCaptureSession#createHighSpeedRequestList and the
   request list can only be submitted to this session via CameraCaptureSession#captureBurst or CameraCaptureSession#setRepeatingBurst . 
The FPS ranges being requested to this session must be selected from StreamConfigurationMap#getHighSpeedVideoFpsRangesFor . The application can still use CaptureRequest#CONTROL_AE_TARGET_FPS_RANGE to control the desired FPS range.
   Switching to an FPS range that has different maximum FPS may trigger some camera device
   reconfigurations which may introduce extra latency. It is recommended that the
   application avoids unnecessary maximum target FPS changes as much as possible during high
   speed streaming. 
For the request lists submitted to this session the camera device will override the CaptureRequest#CONTROL_MODE auto-exposure (AE) auto-white balance
   (AWB) and auto-focus (AF) to CameraMetadata#CONTROL_MODE_AUTO  CameraMetadata#CONTROL_AE_MODE_ON  CameraMetadata#CONTROL_AWB_MODE_AUTO and CameraMetadata#CONTROL_AF_MODE_CONTINUOUS_VIDEO respectively. All
   post-processing block mode controls will be overridden to be FAST. Therefore no manual
   control of capture and post-processing parameters is possible. Beside these only a subset
   of controls will work see CameraMetadata#REQUEST_AVAILABLE_CAPABILITIES_CONSTRAINED_HIGH_SPEED_VIDEO for
   more details.",void,config SessionConfiguration : A session configuration (see SessionConfiguration ). |||,28.0
<android.net.wifi.rtt.RangingRequest.Builder: RangingRequest.Builder addAccessPoints(List)>,,,"Add the devices specified by the ScanResult s to the list of devices with
 which to measure range. The total number of peers added to a request cannot exceed the
 limit specified by RangingRequest.getMaxPeers() . Ranging may not be supported if the Access Point does not support IEEE 802.11mc. Use ScanResult#is80211mcResponder() to verify the Access Point's capabilities. If
 not supported the result status will be RangingResult#STATUS_RESPONDER_DOES_NOT_SUPPORT_IEEE80211MC .",RangingRequest.Builder The builder to facilitate chaining builder.setXXX(..).setXXX(..) . |||,"apInfos List : Information of an Access Points (APs) obtained in a Scan Result.
This value must never be null . |||",28.0
<android.media.audiofx.DynamicsProcessing.MbcBand: String toString()>,,,"Returns a string representation of the object. In general the toString method returns a string that
 ""textually represents"" this object. The result should
 be a concise but informative representation that is easy for a
 person to read.
 It is recommended that all subclasses override this method. The toString method for class Object returns a string consisting of the name of the class of which the
 object is an instance the at-sign character ` @ ' and
 the unsigned hexadecimal representation of the hash code of the
 object. In other words this method returns a string equal to the
 value of:",String a string representation of the object. |||,,28.0
<android.view.textclassifier.TextClassifierEvent: String getEntityTypes()>,,,Returns an array of entity types. e.g. TextClassifier#TYPE_ADDRESS .,String[] This value will never be null . |||,,29.0
<android.icu.text.Transliterator: void transliterate(Replaceable)>,,,Transliterates an entire string in place. Convenience method.,void,text Replaceable : the string to be transliterated |||,29.0
<android.media.audiofx.DynamicsProcessing.Mbc: String toString()>,,,"Returns a string representation of the object. In general the toString method returns a string that
 ""textually represents"" this object. The result should
 be a concise but informative representation that is easy for a
 person to read.
 It is recommended that all subclasses override this method. The toString method for class Object returns a string consisting of the name of the class of which the
 object is an instance the at-sign character ` @ ' and
 the unsigned hexadecimal representation of the hash code of the
 object. In other words this method returns a string equal to the
 value of:",String a string representation of the object. |||,,28.0
