,SS GroundT,Cat GroundT,Description,Return,Parameters,ApiLevel
<android.media.MicrophoneInfo: MicrophoneInfo.Coordinate3F getPosition()>,1,,"Returns A Coordinate3F object that represents the geometric location of microphone
 in meters from bottom-left-back corner of appliance. X-axis Y-axis and Z-axis show
 as the x y z values.","MicrophoneInfo.Coordinate3F the geometric location of the microphone or POSITION_UNKNOWN if the
 geometric location is unknown |||",,28
<android.media.MicrophoneInfo: String getDescription()>,1,,Returns alphanumeric code that uniquely identifies the device.,String the description of the microphone |||,,28
<android.media.Ringtone: boolean isLooping()>,3,,Returns whether the looping mode was enabled on this player.,boolean true if this player loops when playing. |||,,28
"<android.media.session.MediaController.PlaybackInfo: void writeToParcel(Parcel,int)>",2,,Flatten this object in to a Parcel.,void,"dest Parcel : The Parcel in which the object should be written. |||
flags int : Additional flags about how the object should be written.
May be 0 or Parcelable.PARCELABLE_WRITE_RETURN_VALUE .
Value is either 0 or a combination of Parcelable.PARCELABLE_WRITE_RETURN_VALUE and android.os.Parcelable.PARCELABLE_ELIDE_DUPLICATES |||",29
<android.media.session.MediaSessionManager.RemoteUserInfo: boolean equals(Object)>,3,,"Returns equality of two RemoteUserInfo. Two RemoteUserInfo objects are equal
 if and only if they have the same package name same pid and same uid.",boolean true if equals false otherwise |||,"obj Object : the reference object with which to compare.
This value may be null . |||",28
<android.media.session.MediaSessionManager: void notifySession2Created(Session2Token)>,3,,"This API is not generally intended for third party application developers.
 Use the AndroidX Media2 session
 Library for consistent behavior across all devices. Notifies that a new MediaSession2 with type Session2Token#TYPE_SESSION is
 created. Do not use this API directly but create a new instance through the MediaSession2.Builder instead.",void,"token Session2Token : newly created session2 token
This value must never be null . |||",29
<android.media.Session2Command.Result: Bundle getResultData()>,,,Returns the result data.,Bundle This value may be null . |||,,29
<android.media.Session2Command: boolean equals(Object)>,3,,"Indicates whether some other object is ""equal to"" this one. The equals method implements an equivalence relation
 on non-null object references: It is reflexive : for any non-null reference value x  x.equals(x) should return true . 
It is symmetric : for any non-null reference values x and y  x.equals(y) should return true if and only if y.equals(x) returns true . 
It is transitive : for any non-null reference values x  y and z if x.equals(y) returns true and y.equals(z) returns true then x.equals(z) should return true . 
It is consistent : for any non-null reference values x and y multiple invocations of x.equals(y) consistently return true or consistently return false provided no
     information used in equals comparisons on the
     objects is modified. 
For any non-null reference value x  x.equals(null) should return false . 
The equals method for class Object implements
 the most discriminating possible equivalence relation on objects;
 that is for any non-null reference values x and y this method returns true if and only
 if x and y refer to the same object
 ( x == y has the value true ). Note that it is generally necessary to override the hashCode method whenever this method is overridden so as to maintain the
 general contract for the hashCode method which states
 that equal objects must have equal hash codes.","boolean true if this object is the same as the obj
          argument; false otherwise. |||",obj Object : This value may be null . |||,29
<android.media.Session2Command: Bundle getCustomExtras()>,,,"Gets the extra bundle of a custom command.
 This will return null for a predefined command.",Bundle |||,,29
<android.media.Session2CommandGroup.Builder: Session2CommandGroup build()>,3,,Builds Session2CommandGroup .,"Session2CommandGroup a new Session2CommandGroup .
 
 This value will never be null . |||",,29
<android.media.Session2CommandGroup.Builder: Session2CommandGroup.Builder addCommand(Session2Command)>,3,,Adds a command to this command group.,Session2CommandGroup.Builder |||,"command Session2Command : A command to add. Shouldn't be null .
This value must never be null . |||",29
<android.media.Session2CommandGroup: boolean hasCommand(int)>,3,,Checks whether this command group has a command that matches given commandCode .,boolean |||,"commandCode int : A command code to find.
Shouldn't be Session2Command#COMMAND_CODE_CUSTOM . |||",29
<android.media.Session2CommandGroup: boolean hasCommand(Session2Command)>,,,Checks whether this command group has a command that matches given command .,boolean |||,"command Session2Command : A command to find. Shouldn't be null .
This value must never be null . |||",29
"<android.media.Session2CommandGroup: void writeToParcel(Parcel,int)>",,,Flatten this object in to a Parcel.,void,"dest Parcel : This value must never be null . |||
flags int : Additional flags about how the object should be written.
May be 0 or Parcelable.PARCELABLE_WRITE_RETURN_VALUE .
Value is either 0 or a combination of Parcelable.PARCELABLE_WRITE_RETURN_VALUE and android.os.Parcelable.PARCELABLE_ELIDE_DUPLICATES |||",29
<android.media.Session2Token: int hashCode()>,3,,"Returns a hash code value for the object. This method is
 supported for the benefit of hash tables such as those provided by HashMap . The general contract of hashCode is: Whenever it is invoked on the same object more than once during
     an execution of a Java application the hashCode method
     must consistently return the same integer provided no information
     used in equals comparisons on the object is modified.
     This integer need not remain consistent from one execution of an
     application to another execution of the same application. 
If two objects are equal according to the equals(Object) method then calling the hashCode method on each of
     the two objects must produce the same integer result. 
It is not required that if two objects are unequal
     according to the equals(java.lang.Object) method then calling the hashCode method on each of the
     two objects must produce distinct integer results.  However the
     programmer should be aware that producing distinct integer results
     for unequal objects may improve the performance of hash tables. 
As much as is reasonably practical the hashCode method defined by
 class Object does return distinct integers for distinct
 objects. (This is typically implemented by converting the internal
 address of the object into an integer but this implementation
 technique is not required by the
 Java™ programming language.)",int a hash code value for this object. |||,,29
<android.media.Session2Token: String toString()>,,,"Returns a string representation of the object. In general the toString method returns a string that
 ""textually represents"" this object. The result should
 be a concise but informative representation that is easy for a
 person to read.
 It is recommended that all subclasses override this method. The toString method for class Object returns a string consisting of the name of the class of which the
 object is an instance the at-sign character ` @ ' and
 the unsigned hexadecimal representation of the hash code of the
 object. In other words this method returns a string equal to the
 value of:",String a string representation of the object. |||,,29
"<android.media.Session2Token: void writeToParcel(Parcel,int)>",,,Flatten this object in to a Parcel.,void,"dest Parcel : The Parcel in which the object should be written. |||
flags int : Additional flags about how the object should be written.
May be 0 or Parcelable.PARCELABLE_WRITE_RETURN_VALUE .
Value is either 0 or a combination of Parcelable.PARCELABLE_WRITE_RETURN_VALUE and android.os.Parcelable.PARCELABLE_ELIDE_DUPLICATES |||",29
<android.media.SubtitleData: byte getData()>,,,"Returns the encoded data for the subtitle content.
 Encoding format depends on the subtitle type refer to CEA 708  CEA/EIA 608 and WebVTT defined by the MIME type
 of the subtitle track.","byte[] the encoded subtitle data
 
 This value will never be null . |||",,28
<android.media.SubtitleData: long getStartTimeUs()>,,,Returns the media time at which the subtitle should be displayed expressed in microseconds.,long the display start time for the subtitle |||,,28
"<android.media.ThumbnailUtils: Bitmap createAudioThumbnail(String,int)>",,,"This method was deprecated
      in API level 29. Callers should migrate to using createAudioThumbnail(java.io.File android.util.Size android.os.CancellationSignal) as it offers more control over resizing and cancellation. Create a thumbnail for given audio file.",Bitmap This value may be null . |||,"filePath String : The audio file.
This value must never be null . |||
kind int : The desired thumbnail kind such as MediaStore.Images.Thumbnails.MINI_KIND . |||",29
<android.net.ConnectivityManager: byte getNetworkWatchlistConfigHash()>,,,"The network watchlist is a list of domains and IP addresses that are associated with
 potentially harmful apps. This method returns the SHA-256 of the watchlist config file
 currently used by the system for validation purposes.","byte[] Hash of network watchlist config file. Null if config does not exist.
 
 This value may be null . |||",,28
"<android.net.DnsResolver: void query(Network,String,int,int,Executor,CancellationSignal,Callback)>",,,"Send a DNS query with the specified name and query type get back a set of
 InetAddresses with rfc6724 sorting style asynchronously.

 The answer will be provided asynchronously through the provided Callback .",void,"network Network : Network specifying which network to query on. null for query on default network.
This value may be null . |||
domain String : domain name to query
This value must never be null . |||
nsType int : dns resource record (RR) type as one of the TYPE_* constants
Value is TYPE_A or TYPE_AAAA |||
flags int : flags as a combination of the FLAGS_* constants
Value is FLAG_EMPTY  FLAG_NO_RETRY  FLAG_NO_CACHE_STORE or FLAG_NO_CACHE_LOOKUP |||
executor Executor : The Executor that the callback should be executed on.
This value must never be null .
Callback and listener events are dispatched through this Executor providing an easy way to control which thread is
used. To dispatch events through the main thread of your
application you can use Context.getMainExecutor() .
To dispatch events through a shared thread pool you can use AsyncTask#THREAD_POOL_EXECUTOR . |||
cancellationSignal CancellationSignal : used by the caller to signal if the query should be
cancelled. May be null .
This value may be null . |||
callback Callback : a Callback which will be called to notify the caller
of the result of dns query.
This value must never be null . |||",29
"<android.net.DnsResolver: void rawQuery(Network,byte,int,Executor,CancellationSignal,Callback)>",,,"Send a raw DNS query.
 The answer will be provided asynchronously through the provided Callback .",void,"network Network : Network specifying which network to query on. null for query on default network.
This value may be null . |||
query byte : blob message to query
This value must never be null . |||
flags int : flags as a combination of the FLAGS_* constants
Value is FLAG_EMPTY  FLAG_NO_RETRY  FLAG_NO_CACHE_STORE or FLAG_NO_CACHE_LOOKUP |||
executor Executor : The Executor that the callback should be executed on.
This value must never be null .
Callback and listener events are dispatched through this Executor providing an easy way to control which thread is
used. To dispatch events through the main thread of your
application you can use Context.getMainExecutor() .
To dispatch events through a shared thread pool you can use AsyncTask#THREAD_POOL_EXECUTOR . |||
cancellationSignal CancellationSignal : used by the caller to signal if the query should be
cancelled. May be null .
This value may be null . |||
callback Callback : a Callback which will be called to notify the caller
of the result of dns query.
This value must never be null . |||",29
<android.net.InetAddresses: InetAddress parseNumericAddress(String)>,,,"Returns an InetAddress corresponding to the given numeric address (such
 as ""192.168.0.1"" or ""2001:4860:800d::68"" ). See isNumericAddress(java.lang.String) (String)} for a definition as to what constitutes a
 numeric address. This method will never do a DNS lookup.","InetAddress an InetAddress instance corresponding to the address.
 This value will never be null . |||","address String : the address to parse must be numeric.
This value must never be null . |||",29
<android.net.IpSecAlgorithm: byte getKey()>,,,Get the key for this algorithm,byte[] This value will never be null . |||,,28
<android.net.IpSecAlgorithm: String getName()>,,,Get the algorithm name,String This value will never be null . |||,,28
<android.net.IpSecAlgorithm: String toString()>,,,"Returns a string representation of the object. In general the toString method returns a string that
 ""textually represents"" this object. The result should
 be a concise but informative representation that is easy for a
 person to read.
 It is recommended that all subclasses override this method. The toString method for class Object returns a string consisting of the name of the class of which the
 object is an instance the at-sign character ` @ ' and
 the unsigned hexadecimal representation of the hash code of the
 object. In other words this method returns a string equal to the
 value of:",String This value will never be null . |||,,28
"<android.net.IpSecAlgorithm: void writeToParcel(Parcel,int)>",,,Write to parcel,void,"out Parcel : The Parcel in which the object should be written. |||
flags int : Additional flags about how the object should be written.
May be 0 or Parcelable.PARCELABLE_WRITE_RETURN_VALUE .
Value is either 0 or a combination of Parcelable.PARCELABLE_WRITE_RETURN_VALUE and android.os.Parcelable.PARCELABLE_ELIDE_DUPLICATES |||",28
<android.net.IpSecManager.SecurityParameterIndex: int getSpi()>,,,Get the underlying SPI held by this object.,int |||,,28
<android.net.IpSecManager.SecurityParameterIndex: void finalize()>,,,Check that the SPI was closed properly.,void,,28
<android.net.IpSecManager.UdpEncapsulationSocket: void finalize()>,,,Check that the socket was closed properly.,void,,28
<android.net.IpSecManager: IpSecManager.SecurityParameterIndex allocateSecurityParameterIndex(InetAddress)>,,,Reserve a random SPI for traffic bound to or from the specified destination address. If successful this SPI is guaranteed available until released by a call to SecurityParameterIndex#close() .,"IpSecManager.SecurityParameterIndex the reserved SecurityParameterIndex
 This value will never be null . |||","destinationAddress InetAddress : the destination address for traffic bearing the requested SPI.
For inbound traffic the destination should be an address currently assigned on-device.
This value must never be null . |||",28
"<android.net.IpSecManager: void applyTransportModeTransform(FileDescriptor,int,IpSecTransform)>",,,"Apply an IPsec transform to a socket. This applies transport mode encapsulation to the given socket. Once applied I/O on the
 socket will be encapsulated according to the parameters of the IpSecTransform . When
 the transform is removed from the socket by calling removeTransportModeTransforms(FileDescriptor) unprotected traffic can resume on that socket. For security reasons the destination address of any traffic on the socket must match the
 remote InetAddress of the IpSecTransform . Attempts to send traffic to any
 other IP address will result in an IOException. In addition reads and writes on the socket
 will throw IOException if the user deactivates the transform (by calling IpSecTransform#close() ) without calling removeTransportModeTransforms(FileDescriptor) . Note that when applied to TCP sockets calling IpSecTransform#close() on an
 applied transform before completion of graceful shutdown may result in the shutdown sequence
 failing to complete. As such applications requiring graceful shutdown MUST close the socket
 prior to deactivating the applied transform. Socket closure may be performed asynchronously
 (in batches) so the returning of a close function does not guarantee shutdown of a socket.
 Setting an SO_LINGER timeout results in socket closure being performed synchronously and is
 sufficient to ensure shutdown.

 Specifically if the transform is deactivated (by calling IpSecTransform#close() )
 prior to the socket being closed the standard [FIN - FIN/ACK - ACK] or the reset [RST]
 packets are dropped due to the lack of a valid Transform. Similarly if a socket without the
 SO_LINGER option set is closed the delayed/batched FIN packets may be dropped. When applying a new tranform to a socket in the outbound direction the previous transform
 will be removed and the new transform will take effect immediately sending all traffic on
 the new transform; however when applying a transform in the inbound direction traffic
 on the old transform will continue to be decrypted and delivered until that transform is
 deallocated by calling IpSecTransform#close() . This overlap allows lossless rekey
 procedures where both transforms are valid until both endpoints are using the new transform
 and all in-flight packets have been received.",void,"socket FileDescriptor : a socket file descriptor
This value must never be null . |||
direction int : the direction in which the transform should be applied
Value is DIRECTION_IN or DIRECTION_OUT |||
transform IpSecTransform : a transport mode IpSecTransform This value must never be null . |||",28
"<android.net.IpSecManager: void applyTransportModeTransform(Socket,int,IpSecTransform)>",,,"Apply an IPsec transform to a stream socket. This applies transport mode encapsulation to the given socket. Once applied I/O on the
 socket will be encapsulated according to the parameters of the IpSecTransform . When
 the transform is removed from the socket by calling removeTransportModeTransforms(FileDescriptor) unprotected traffic can resume on that socket. For security reasons the destination address of any traffic on the socket must match the
 remote InetAddress of the IpSecTransform . Attempts to send traffic to any
 other IP address will result in an IOException. In addition reads and writes on the socket
 will throw IOException if the user deactivates the transform (by calling IpSecTransform#close() ) without calling removeTransportModeTransforms(FileDescriptor) . Note that when applied to TCP sockets calling IpSecTransform#close() on an
 applied transform before completion of graceful shutdown may result in the shutdown sequence
 failing to complete. As such applications requiring graceful shutdown MUST close the socket
 prior to deactivating the applied transform. Socket closure may be performed asynchronously
 (in batches) so the returning of a close function does not guarantee shutdown of a socket.
 Setting an SO_LINGER timeout results in socket closure being performed synchronously and is
 sufficient to ensure shutdown.

 Specifically if the transform is deactivated (by calling IpSecTransform#close() )
 prior to the socket being closed the standard [FIN - FIN/ACK - ACK] or the reset [RST]
 packets are dropped due to the lack of a valid Transform. Similarly if a socket without the
 SO_LINGER option set is closed the delayed/batched FIN packets may be dropped. When applying a new tranform to a socket in the outbound direction the previous transform
 will be removed and the new transform will take effect immediately sending all traffic on
 the new transform; however when applying a transform in the inbound direction traffic
 on the old transform will continue to be decrypted and delivered until that transform is
 deallocated by calling IpSecTransform#close() . This overlap allows lossless rekey
 procedures where both transforms are valid until both endpoints are using the new transform
 and all in-flight packets have been received.",void,"socket Socket : a stream socket
This value must never be null . |||
direction int : the direction in which the transform should be applied
Value is DIRECTION_IN or DIRECTION_OUT |||
transform IpSecTransform : a transport mode IpSecTransform This value must never be null . |||",28
<android.net.IpSecManager: void removeTransportModeTransforms(FileDescriptor)>,,,"Remove an IPsec transform from a socket. Once removed traffic on the socket will not be encrypted. Removing transforms from a
 socket allows the socket to be reused for communication in the clear. If an IpSecTransform object applied to this socket was deallocated by calling IpSecTransform#close() then communication on the socket will fail until this method
 is called.",void,"socket FileDescriptor : a socket that previously had a transform applied to it
This value must never be null . |||",28
<android.net.IpSecTransform.Builder: IpSecTransform.Builder setEncryption(IpSecAlgorithm)>,,,Set the encryption algorithm. Encryption is mutually exclusive with authenticated encryption.,IpSecTransform.Builder This value will never be null . |||,"algo IpSecAlgorithm : IpSecAlgorithm specifying the encryption to be applied.
This value must never be null . |||",28
<android.net.IpSecTransform: boolean equals(Object)>,,,Standard equals.,"boolean true if this object is the same as the obj
          argument; false otherwise. |||",other Object : the reference object with which to compare. |||,28
<android.net.LinkProperties: String getPrivateDnsServerName()>,,,"Returns the private DNS server name that is in use. If not null private DNS is in strict mode. In this mode applications should ensure
 that all DNS queries are encrypted and sent to this hostname and that
 queries are only sent if the hostname's certificate is valid. If null and isPrivateDnsActive() is true private
 DNS is in opportunistic mode and applications should ensure that DNS
 queries are encrypted and sent to a DNS server returned by getDnsServers() . System DNS will handle each of these cases
 correctly but applications implementing their own DNS lookups must make
 sure to follow these requirements.",String The private DNS server name. |||,,28
<android.net.LinkProperties: void clear()>,,,Clears this object to its initial state.,void,,29
<android.net.MacAddress: boolean equals(Object)>,,,"Indicates whether some other object is ""equal to"" this one. The equals method implements an equivalence relation
 on non-null object references: It is reflexive : for any non-null reference value x  x.equals(x) should return true . 
It is symmetric : for any non-null reference values x and y  x.equals(y) should return true if and only if y.equals(x) returns true . 
It is transitive : for any non-null reference values x  y and z if x.equals(y) returns true and y.equals(z) returns true then x.equals(z) should return true . 
It is consistent : for any non-null reference values x and y multiple invocations of x.equals(y) consistently return true or consistently return false provided no
     information used in equals comparisons on the
     objects is modified. 
For any non-null reference value x  x.equals(null) should return false . 
The equals method for class Object implements
 the most discriminating possible equivalence relation on objects;
 that is for any non-null reference values x and y this method returns true if and only
 if x and y refer to the same object
 ( x == y has the value true ). Note that it is generally necessary to override the hashCode method whenever this method is overridden so as to maintain the
 general contract for the hashCode method which states
 that equal objects must have equal hash codes.","boolean true if this object is the same as the obj
          argument; false otherwise. |||",o Object : the reference object with which to compare. |||,28
<android.net.MacAddress: boolean isLocallyAssigned()>,,,,boolean true if this MacAddress is a locally assigned address. |||,,28
<android.net.MacAddress: MacAddress fromString(String)>,,,"Creates a MacAddress from the given String representation. A valid String representation
 for a MacAddress is a series of 6 values in the range [0ff] printed in hexadecimal
 and joined by ':' characters.","MacAddress the MacAddress corresponding to the given String representation.
 This value will never be null . |||","addr String : a String representation of a MAC address.
This value must never be null . |||",28
<android.net.MacAddress: String toString()>,,,"Returns a string representation of the object. In general the toString method returns a string that
 ""textually represents"" this object. The result should
 be a concise but informative representation that is easy for a
 person to read.
 It is recommended that all subclasses override this method. The toString method for class Object returns a string consisting of the name of the class of which the
 object is an instance the at-sign character ` @ ' and
 the unsigned hexadecimal representation of the hash code of the
 object. In other words this method returns a string equal to the
 value of:",String This value will never be null . |||,,28
<android.net.NetworkRequest: boolean hasCapability(int)>,,,,boolean |||,capability int : Value is NetworkCapabilities.NET_CAPABILITY_MMS  NetworkCapabilities.NET_CAPABILITY_SUPL  NetworkCapabilities.NET_CAPABILITY_DUN  NetworkCapabilities.NET_CAPABILITY_FOTA  NetworkCapabilities.NET_CAPABILITY_IMS  NetworkCapabilities.NET_CAPABILITY_CBS  NetworkCapabilities.NET_CAPABILITY_WIFI_P2P  NetworkCapabilities.NET_CAPABILITY_IA  NetworkCapabilities.NET_CAPABILITY_RCS  NetworkCapabilities.NET_CAPABILITY_XCAP  NetworkCapabilities.NET_CAPABILITY_EIMS  NetworkCapabilities.NET_CAPABILITY_NOT_METERED  NetworkCapabilities.NET_CAPABILITY_INTERNET  NetworkCapabilities.NET_CAPABILITY_NOT_RESTRICTED  NetworkCapabilities.NET_CAPABILITY_TRUSTED  NetworkCapabilities.NET_CAPABILITY_NOT_VPN  NetworkCapabilities.NET_CAPABILITY_VALIDATED  NetworkCapabilities.NET_CAPABILITY_CAPTIVE_PORTAL  NetworkCapabilities.NET_CAPABILITY_NOT_ROAMING  NetworkCapabilities.NET_CAPABILITY_FOREGROUND  NetworkCapabilities.NET_CAPABILITY_NOT_CONGESTED  NetworkCapabilities.NET_CAPABILITY_NOT_SUSPENDED android.net.NetworkCapabilities.NET_CAPABILITY_OEM_PAID NetworkCapabilities.NET_CAPABILITY_MCX or android.net.NetworkCapabilities.NET_CAPABILITY_PARTIAL_CONNECTIVITY |||,28
<android.net.RouteInfo: boolean hasGateway()>,,,"Indicates if this route has a next hop ( true ) or is directly-connected
 ( false ).",boolean true if a gateway is specified |||,,29
<android.net.SocketKeepalive.Callback: void onStarted()>,,,The requested keepalive was successfully started.,void,,29
<android.net.SocketKeepalive: void start(int)>,,,"Request that keepalive be started with the given intervalSec . See SocketKeepalive . If the remote binder dies or the binder call throws an exception
 when invoking start or stop of the SocketKeepalive a RemoteException will be
 thrown into the executor . This is typically not important to catch because the remote
 party is the system so if it is not in shape to communicate through binder the system is
 probably going down anyway. If the caller cares regardless it can use a custom Executor to catch the RemoteException .",void,"intervalSec int : The target interval in seconds between keepalive packet transmissions.
The interval should be between 10 seconds and 3600 seconds otherwise ERROR_INVALID_INTERVAL will be returned.
Value is between MIN_INTERVAL_SEC and MAX_INTERVAL_SEC inclusive |||",29
<android.net.ssl.SSLEngines: boolean isSupportedEngine(SSLEngine)>,,,"Returns whether the given engine can be used with the methods in this class.  In general
 only engines from the platform TLS provider are supported.",boolean |||,engine SSLEngine : This value must never be null . |||,29
"<android.net.ssl.SSLEngines: void setUseSessionTickets(SSLEngine,boolean)>",,,Enables or disables the use of session tickets. This function must be called before the handshake is started or it will have no effect.,void,"engine SSLEngine : the engine
This value must never be null . |||
useSessionTickets boolean : whether to enable or disable the use of session tickets |||",29
<android.net.ssl.SSLSockets: boolean isSupportedSocket(SSLSocket)>,,,"Returns whether the given socket can be used with the methods in this class.  In general
 only sockets from the platform TLS provider are supported.",boolean |||,socket SSLSocket : This value must never be null . |||,29
<android.net.TrafficStats: void clearThreadStatsUid()>,,,"Clear any active UID set to account Socket traffic originating
 from the current thread.",void,,28
<android.net.TrafficStats: void tagFileDescriptor(FileDescriptor)>,,,"Tag the given FileDescriptor socket with any statistics
 parameters active for the current thread. Subsequent calls always replace
 any existing parameters. When finished call untagFileDescriptor(java.io.FileDescriptor) to remove statistics
 parameters.",void,fd FileDescriptor |||,28
<android.net.TrafficStats: void untagFileDescriptor(FileDescriptor)>,,,Remove any statistics parameters from the given FileDescriptor socket.,void,fd FileDescriptor |||,28
<android.net.VpnService: boolean isLockdownEnabled()>,,,"Returns whether the service is running in always-on VPN lockdown mode. In this mode the
 system ensures that the service is always running and that the apps aren't allowed to bypass
 the VPN.",boolean |||,,29
"<android.net.wifi.aware.DiscoverySessionCallback: void onServiceDiscoveredWithinRange(PeerHandle,byte,List,int)>",,,"Called when a discovery (publish or subscribe) operation results in a
 service discovery. Called when a Subscribe service was configured with a range requirement SubscribeConfig.Builder#setMinDistanceMm(int) and/or SubscribeConfig.Builder#setMaxDistanceMm(int) and the Publish service was configured
 with PublishConfig.Builder#setRangingEnabled(boolean) . If either Publisher or Subscriber does not enable Ranging or if Ranging is temporarily
 disabled by the underlying device service discovery proceeds without ranging and the onServiceDiscovered(android.net.wifi.aware.PeerHandle byte[] java.util.List) is called. Note that this method and onServiceDiscovered(android.net.wifi.aware.PeerHandle byte[] java.util.List) may be
 called multiple times per service discovery.",void,"peerHandle PeerHandle : An opaque handle to the peer matching our discovery operation. |||
serviceSpecificInfo byte : The service specific information (arbitrary
byte array) provided by the peer as part of its discovery
configuration. |||
matchFilter List : The filter which resulted in this service discovery. For PublishConfig#PUBLISH_TYPE_UNSOLICITED  SubscribeConfig#SUBSCRIBE_TYPE_PASSIVE discovery sessions this is the publisher's
match filter. For PublishConfig#PUBLISH_TYPE_SOLICITED  SubscribeConfig#SUBSCRIBE_TYPE_ACTIVE discovery sessions this
is the subscriber's match filter. |||
distanceMm int : The measured distance to the Publisher in mm. Note: the measured distance
may be negative for very close devices. |||",28
<android.net.wifi.aware.ParcelablePeerHandle: int describeContents()>,,,"Describe the kinds of special objects contained in this Parcelable
 instance's marshaled representation. For example if the object will
 include a file descriptor in the output of writeToParcel(android.os.Parcel int) the return value of this method must include the CONTENTS_FILE_DESCRIPTOR bit.","int a bitmask indicating the set of special object types marshaled
 by this Parcelable object instance.
 
 Value is either 0 or CONTENTS_FILE_DESCRIPTOR |||",,29
"<android.net.wifi.aware.ParcelablePeerHandle: void writeToParcel(Parcel,int)>",2,,Flatten this object in to a Parcel.,void,"dest Parcel : The Parcel in which the object should be written. |||
flags int : Additional flags about how the object should be written.
May be 0 or Parcelable.PARCELABLE_WRITE_RETURN_VALUE .
Value is either 0 or a combination of Parcelable.PARCELABLE_WRITE_RETURN_VALUE and android.os.Parcelable.PARCELABLE_ELIDE_DUPLICATES |||",29
"<android.net.wifi.aware.WifiAwareNetworkInfo: void writeToParcel(Parcel,int)>",2,,Flatten this object in to a Parcel.,void,"dest Parcel : The Parcel in which the object should be written. |||
flags int : Additional flags about how the object should be written.
May be 0 or Parcelable.PARCELABLE_WRITE_RETURN_VALUE .
Value is either 0 or a combination of Parcelable.PARCELABLE_WRITE_RETURN_VALUE and android.os.Parcelable.PARCELABLE_ELIDE_DUPLICATES |||",29
<android.net.wifi.aware.WifiAwareNetworkSpecifier.Builder: WifiAwareNetworkSpecifier.Builder setPort(int)>,,,"Configure the port number which will be used to create a connection over this link. This
 configuration should only be done on the server device e.g. the device creating the ServerSocket . Notes: The server device must be the Publisher device! 
The port information can only be specified on secure links specified using setPskPassphrase(java.lang.String) or setPmk(byte[]) .","WifiAwareNetworkSpecifier.Builder the current Builder builder enabling chaining of builder
         methods.
 
 This value will never be null . |||","port int : A positive integer indicating the port to be used for communication.
Value is between 0 and 65535 inclusive |||",29
<android.net.wifi.aware.WifiAwareNetworkSpecifier.Builder: WifiAwareNetworkSpecifier.Builder setPskPassphrase(String)>,,,"Configure the PSK Passphrase for the Wi-Fi Aware connection being requested. This method
 is optional - if not called then an Open (unencrypted) connection will be created.","WifiAwareNetworkSpecifier.Builder the current Builder builder enabling chaining of builder
         methods.
 
 This value will never be null . |||","pskPassphrase String : The (optional) passphrase to be used to encrypt the link. Use the setPmk(byte[]) to specify a PMK.
This value must never be null . |||",29
<android.net.wifi.aware.WifiAwareNetworkSpecifier.Builder: WifiAwareNetworkSpecifier.Builder setTransportProtocol(int)>,,,"Configure the transport protocol which will be used to create a connection over this
 link. This configuration should only be done on the server device e.g. the device
 creating the ServerSocket for TCP. Notes: The server device must be the Publisher device! 
The transport protocol information can only be specified on secure links
     specified using setPskPassphrase(java.lang.String) or setPmk(byte[]) .","WifiAwareNetworkSpecifier.Builder the current Builder builder enabling chaining of builder
         methods.
 
 This value will never be null . |||","transportProtocol int : The transport protocol to be used for communication.
Value is between 0 and 255 inclusive |||",29
<android.net.wifi.p2p.WifiP2pConfig.Builder: WifiP2pConfig.Builder setGroupOperatingFrequency(int)>,,,"Specify the frequency in MHz to use for creating the group or joining the group. When creating a group as Group Owner using WifiP2pManager#createGroup(
 WifiP2pManager.Channel WifiP2pConfig WifiP2pManager.ActionListener) specifying a frequency only allows the system to pick the specified frequency.
 If the Group Owner cannot create a group at the specified frequency
 the operation will fail.
 When not specifying a frequency it allows the system to pick operating frequency
 from all supported bands. When joining a group as Group Client using WifiP2pManager#connect(
 WifiP2pManager.Channel WifiP2pConfig WifiP2pManager.ActionListener) specifying a frequency only allows the system to scan the specified frequency.
 If the frequency is not supported or invalid the operation will fail.
 When not specifying a frequency it allows the system to scan all supported
 frequencies to find the desired group. setGroupOperatingBand(int) and setGroupOperatingFrequency(int) are
     mutually exclusive. Setting operating band and frequency both is invalid. Optional. 0 by default.","WifiP2pConfig.Builder The builder to facilitate chaining builder.setXXX(..).setXXX(..) .
 
 This value will never be null . |||",frequency int : the operating frequency of the group. |||,29
<android.net.wifi.p2p.WifiP2pGroup: int getFrequency()>,,,Get the operating frequency (in MHz) of the p2p group,int |||,,29
"<android.net.wifi.p2p.WifiP2pManager: void requestDiscoveryState(WifiP2pManager.Channel,WifiP2pManager.DiscoveryStateListener)>",,,"Request p2p discovery state. This state indicates whether p2p discovery has started or stopped.
 The valid value is one of WIFI_P2P_DISCOVERY_STARTED or WIFI_P2P_DISCOVERY_STOPPED . The state is returned using the DiscoveryStateListener listener. This state is also included in the WIFI_P2P_DISCOVERY_CHANGED_ACTION broadcast event with extra EXTRA_DISCOVERY_STATE .",void,"c WifiP2pManager.Channel : is the channel created at initialize(Context Looper WifiP2pManager.ChannelListener) .
This value must never be null . |||
listener WifiP2pManager.DiscoveryStateListener : for callback when discovery state is available..
This value must never be null . |||",29
