,Annotation
<com.android.providers.calendar.CalendarAlarmManager: void acquireScheduleNextAlarmWakeLock()>,NONE
<java.nio.IntToByteBufferAdapter: int protectedArrayOffset()>,NONE
<android.widget.Editor: void finishBatchEdit(android.widget.Editor$InputMethodState)>,NONE
<com.android.camera.ListPreference: java.lang.String getKey()>,SOURCE
<com.android.contacts.dialog.ClearFrequentsDialog$1$1: void onPostExecute(java.lang.Object)>,NONE
<com.android.mms.data.Conversation: void setRecipients(com.android.mms.data.ContactList)>,NONE
<com.android.internal.telephony.cdma.CdmaConnection: long getCreateTime()>,SOURCE
"<android.os.MessageQueue: boolean enqueueMessage(android.os.Message,long)>",NONE
<java.util.UUID: long getLeastSignificantBits()>,SOURCE
<android.webkit.WebSettings: boolean getJavaScriptCanOpenWindowsAutomatically()>,SOURCE
<com.android.browser.BrowserHistoryPage$HistoryAdapter: void changeCursor(android.database.Cursor)>,NONE
<com.android.calendar.widget.CalendarAppWidgetService$CalendarFactory$3: void run()>,NONE
"<android.app.ExpandableListActivity: boolean setSelectedChild(int,int,boolean)>",SINK
<com.google.common.collect.ForwardingMap: java.lang.Object get(java.lang.Object)>,SOURCE
"<com.android.server.pm.PackageManagerService: android.content.pm.ActivityInfo getReceiverInfo(android.content.ComponentName,int,int)>",SOURCE
<android.app.Notification$Style: void setBuilder(android.app.Notification$Builder)>,NONE
<com.android.internal.widget.TransportControlView$1: void <init>(com.android.internal.widget.TransportControlView)>,NONE
<com.coremedia.iso.Hex: void <init>()>,NONE
"<java.security.spec.ECParameterSpec: void <init>(java.security.spec.EllipticCurve,java.security.spec.ECPoint,java.math.BigInteger,int)>",NONE
<com.android.uiautomator.core.UiDevice: boolean isInWatcherContext()>,NONE
<com.googlecode.mp4parser.authoring.TrackMetaData: long getTimescale()>,NONE
<com.android.i18n.phonenumbers.Phonemetadata$PhoneMetadata: com.android.i18n.phonenumbers.Phonemetadata$PhoneMetadata setPreferredInternationalPrefix(java.lang.String)>,NONE
<com.google.common.collect.MapMakerInternalMap$Segment: void tryExpireEntries()>,NONE
"<com.android.internal.policy.impl.keyguard.KeyguardUpdateMonitor$BatteryStatus: void <init>(int,int,int,int)>",NONE
<com.android.mms.util.ThumbnailManager: void <init>(android.content.Context)>,NONE
"<android.content.ContentProviderClient: android.database.Cursor query(android.net.Uri,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String,android.os.CancellationSignal)>",SOURCE
<javax.security.cert.CertificateEncodingException: void <init>(java.lang.String)>,NONE
<com.android.mms.ui.SlideListItemView: void startVideo()>,NONE
<libcore.io.MemoryMappedFile: void close()>,NONE
<com.android.contacts.widget.TransitionAnimationView: void onFinishInflate()>,NONE
"<com.android.internal.content.PackageMonitor: void onPackageChanged(java.lang.String,int,java.lang.String[])>",NONE
<android.location.LocationManager: void removeAllGeofences(android.app.PendingIntent)>,NONE
<android.nfc.NdefRecord: int getByteLength()>,SOURCE
<com.android.contacts.util.StreamItemEntry: void decodeHtml(android.content.Context)>,NONE
