,SS GroundT,Cat GroundT,Description,Return,Parameters,ApiLevel
<android.telecom.CallAudioState: Collection getSupportedBluetoothDevices()>,,,,Collection < BluetoothDevice > List of BluetoothDevice s that can be used for this call. |||,,28.0
<android.view.TouchDelegate: AccessibilityNodeInfo.TouchDelegateInfo getTouchDelegateInfo()>,,,"Return a TouchDelegateInfo mapping from regions (in view coordinates) to
 delegated views for accessibility usage.","AccessibilityNodeInfo.TouchDelegateInfo A TouchDelegateInfo.
 
 This value will never be null . |||",,29.0
<android.service.notification.ZenPolicy: int hashCode()>,,,"Returns a hash code value for the object. This method is
 supported for the benefit of hash tables such as those provided by HashMap . The general contract of hashCode is: Whenever it is invoked on the same object more than once during
     an execution of a Java application the hashCode method
     must consistently return the same integer provided no information
     used in equals comparisons on the object is modified.
     This integer need not remain consistent from one execution of an
     application to another execution of the same application. 
If two objects are equal according to the equals(Object) method then calling the hashCode method on each of
     the two objects must produce the same integer result. 
It is not required that if two objects are unequal
     according to the equals(java.lang.Object) method then calling the hashCode method on each of the
     two objects must produce distinct integer results.  However the
     programmer should be aware that producing distinct integer results
     for unequal objects may improve the performance of hash tables. 
As much as is reasonably practical the hashCode method defined by
 class Object does return distinct integers for distinct
 objects. (This is typically implemented by converting the internal
 address of the object into an integer but this implementation
 technique is not required by the
 Java™ programming language.)",int a hash code value for this object. |||,,29.0
<android.telephony.TelephonyManager.CellInfoCallback: void onCellInfo(List)>,,,"Success response to requestCellInfoUpdate() .

 Invoked when there is a response to requestCellInfoUpdate() to provide a list of CellInfo . If no CellInfo is available then an empty
 list will be provided. If an error occurs null will be provided unless the onError
 callback is overridden.",void,"cellInfo List : a list of CellInfo an empty list or null.
This value must never be null . |||",29.0
<android.graphics.Insets: int hashCode()>,,,"Returns a hash code value for the object. This method is
 supported for the benefit of hash tables such as those provided by HashMap . The general contract of hashCode is: Whenever it is invoked on the same object more than once during
     an execution of a Java application the hashCode method
     must consistently return the same integer provided no information
     used in equals comparisons on the object is modified.
     This integer need not remain consistent from one execution of an
     application to another execution of the same application. 
If two objects are equal according to the equals(Object) method then calling the hashCode method on each of
     the two objects must produce the same integer result. 
It is not required that if two objects are unequal
     according to the equals(java.lang.Object) method then calling the hashCode method on each of the
     two objects must produce distinct integer results.  However the
     programmer should be aware that producing distinct integer results
     for unequal objects may improve the performance of hash tables. 
As much as is reasonably practical the hashCode method defined by
 class Object does return distinct integers for distinct
 objects. (This is typically implemented by converting the internal
 address of the object into an integer but this implementation
 technique is not required by the
 Java™ programming language.)",int a hash code value for this object. |||,,29.0
<android.telephony.SubscriptionPlan: int describeContents()>,,,"Describe the kinds of special objects contained in this Parcelable
 instance's marshaled representation. For example if the object will
 include a file descriptor in the output of writeToParcel(android.os.Parcel int) the return value of this method must include the CONTENTS_FILE_DESCRIPTOR bit.","int a bitmask indicating the set of special object types marshaled
 by this Parcelable object instance.
 
 Value is either 0 or CONTENTS_FILE_DESCRIPTOR |||",,28.0
"<android.app.admin.DevicePolicyManager: void wipeData(int,CharSequence)>",,,"Ask that all user data be wiped. If called as a secondary user the user will be removed and
 other users will remain unaffected the provided reason for wiping data can be shown to
 user. Calling from the primary user will cause the device to reboot erasing all device data
 - including all the secondary users and their data - while booting up. In this case we don't
 show the reason to the user since the device would be factory reset. The calling device admin must have requested DeviceAdminInfo#USES_POLICY_WIPE_DATA to
 be able to call this method; if it has not a security exception will be thrown.

 If the caller is a profile owner of an organization-owned managed profile it may
 additionally call this method on the parent instance.
 Calling this method on the parent DevicePolicyManager instance would wipe the
 entire device while calling it on the current profile instance would relinquish the device
 for personal use removing the managed profile and all policies set by the profile owner.",void,"flags int : Bit mask of additional options: currently supported flags are WIPE_EXTERNAL_STORAGE  WIPE_RESET_PROTECTION_DATA and WIPE_EUICC . |||
reason CharSequence : a string that contains the reason for wiping data which can be
presented to the user.
This value must never be null . |||",28.0
<android.app.admin.DevicePolicyManager: List getKeepUninstalledPackages(ComponentName)>,,,"Get the list of apps to keep around as APKs even if no user has currently installed it. This
 function can be called by a device owner or by a delegate given the DELEGATION_KEEP_UNINSTALLED_PACKAGES scope via setDelegatedScopes(ComponentName String List ) . Please note that packages returned in this method are not automatically pre-cached.",List < String > List of package names to keep cached. |||,"admin ComponentName : Which DeviceAdminReceiver this request is associated with or null if the caller is a keep uninstalled packages delegate.
This value may be null . |||",28.0
"<android.telephony.TelephonyManager.CellInfoCallback: void onError(int,Throwable)>",,,"Error response to requestCellInfoUpdate() .

 Invoked when an error condition prevents updated CellInfo from being fetched
 and returned from the modem. Callers of requestCellInfoUpdate() should override this
 function to receive detailed status information in the event of an error. By default
 this function will invoke onCellInfo() with null.",void,"errorCode int : an error code indicating the type of failure.
Value is ERROR_TIMEOUT or ERROR_MODEM_ERROR |||
detail Throwable : a Throwable object with additional detail regarding the failure if
available otherwise null.
This value may be null . |||",29.0
<android.telecom.VideoProfile.CameraCapabilities: float getMaxZoom()>,,,Returns the maximum zoom supported by the camera.,float |||,,29.0
<android.view.Window: void setNavigationBarContrastEnforced(boolean)>,,,"Sets whether the system should ensure that the navigation bar has enough
 contrast when a fully transparent background is requested. If set to this value the system will determine whether a scrim is necessary
 to ensure that the navigation bar has enough contrast with the contents of
 this app and set an appropriate effective bar background color accordingly. When the navigation bar color has a non-zero alpha value the value of this
 property has no effect.",void,enforceContrast boolean |||,29.0
"<android.telephony.TelephonyManager: void requestCellInfoUpdate(Executor,TelephonyManager.CellInfoCallback)>",,,"Requests all available cell information from the current subscription for observed
 camped/registered serving and neighboring cells. Any available results from this request will be provided by calls to onCellInfoChanged() for each active subscription. Requires Manifest.permission.ACCESS_FINE_LOCATION",void,"executor Executor : the executor on which callback will be invoked.
This value must never be null .
Callback and listener events are dispatched through this Executor providing an easy way to control which thread is
used. To dispatch events through the main thread of your
application you can use Context.getMainExecutor() .
To dispatch events through a shared thread pool you can use AsyncTask#THREAD_POOL_EXECUTOR . |||
callback TelephonyManager.CellInfoCallback : a callback to receive CellInfo.
This value must never be null . |||",29.0
<android.view.View: void setContentCaptureSession(ContentCaptureSession)>,,,"Sets the (optional) ContentCaptureSession associated with this view. This method should be called when you need to associate a ContentCaptureContext to
 the content capture events associated with this view or its view hierarchy (if it's a ViewGroup ). For example if your activity is associated with a web domain first you would need to
 set the context for the main DOM: Then if the page had an IFRAME you would create a new session for it:",void,"contentCaptureSession ContentCaptureSession : a session created by ContentCaptureSession#createContentCaptureSession(
android.view.contentcapture.ContentCaptureContext) .
This value may be null . |||",29.0
<android.widget.ListPopupWindow: void setEpicenterBounds(Rect)>,,,"Specifies the anchor-relative bounds of the popup's transition
 epicenter.",void,"bounds Rect : anchor-relative bounds or null to use default epicenter
This value may be null . |||",29.0
<android.app.Person: boolean isBot()>,,,,boolean whether this Person is a machine. |||,,28.0
<android.telephony.data.ApnSetting.Builder: ApnSetting.Builder setMmsProxyAddress(InetAddress)>,,,"This method was deprecated
      in API level 29. use setMmsProxyAddress(java.lang.String) instead. Sets the address of an MMS proxy for the APN. The MMS proxy address can be an IP address
 or hostname. If mmsProxy contains both an IP address and hostname this method
 ignores the IP address. The InetAddress methods getByName() and getAllByName() require DNS for hostname
 resolution. To avoid this requirement when setting a hostname call InetAddress.getByAddress(java.lang.String byte[]) with both the
 hostname and a dummy IP address. See ApnSetting.Builder for an example.",ApnSetting.Builder |||,mmsProxy InetAddress : the MMS proxy address to set for the APN |||,28.0
<android.content.pm.PackageInstaller.SessionInfo: boolean isMultiPackage()>,,,"Returns true if this session is a multi-package session containing references to other
 sessions.",boolean |||,,29.0
<android.view.SurfaceControl.Builder: SurfaceControl.Builder setParent(SurfaceControl)>,,,"Set a parent surface for our new SurfaceControl.

 Child surfaces are constrained to the onscreen region of their parent.
 Furthermore they stack relatively in Z order and inherit the transformation
 of the parent.",SurfaceControl.Builder This value will never be null . |||,"parent SurfaceControl : The parent control.
This value may be null . |||",29.0
<android.icu.text.Bidi: boolean isRightToLeft()>,,,"Return true if the line is all right-to-left text and the base direction
 is right-to-left","boolean true if the line is all right-to-left text and the base
         direction is right-to-left |||",,29.0
<android.app.NotificationChannel: void setAllowBubbles(boolean)>,,,"Sets whether notifications posted to this channel can appear outside of the notification
 shade floating over other apps' content as a bubble. This value will be ignored for channels that aren't allowed to pop on screen (that is
 channels whose importance is < NotificationManager#IMPORTANCE_HIGH . Only modifiable before the channel is submitted to
      * NotificationManager#createNotificationChannel(NotificationChannel) .",void,allowBubbles boolean |||,29.0
<android.bluetooth.BluetoothAdapter: BluetoothServerSocket listenUsingInsecureL2capChannel()>,,,"Create an insecure L2CAP Connection-oriented Channel (CoC) BluetoothServerSocket and
 assign a dynamic PSM value. This socket can be used to listen for incoming connections. The
 supported Bluetooth transport is LE only. The link key is not required to be authenticated i.e the communication may be vulnerable
 to man-in-the-middle attacks. Use listenUsingL2capChannel() if an encrypted and
 authenticated communication channel is desired. Use BluetoothServerSocket#accept to retrieve incoming connections from a listening BluetoothServerSocket . The system will assign a dynamic protocol/service multiplexer (PSM) value. This PSM value
 can be read from the BluetoothServerSocket#getPsm() and this value will be released
 when this server socket is closed Bluetooth is turned off or the application exits
 unexpectedly. The mechanism of disclosing the assigned dynamic PSM value to the initiating peer is
 defined and performed by the application. Use BluetoothDevice#createInsecureL2capChannel(int) to connect to this server
 socket from another Android device that is given the PSM value. Requires Manifest.permission.BLUETOOTH","BluetoothServerSocket an L2CAP CoC BluetoothServerSocket
 This value will never be null . |||",,29.0
"<android.media.audiofx.DynamicsProcessing.Config: DynamicsProcessing.MbcBand getMbcBandByChannelIndex(int,int)>",,,,DynamicsProcessing.MbcBand |||,"channelIndex int |||
band int |||",28.0
<android.telecom.Connection.RttTextStream: void write()>,,,"Writes the string  into the text stream to the UI for this RTT call. Since
 RTT transmits text in real-time this method should be called as often as text snippets
 are received from the remote user even if it is only one character. This method is not thread-safe -- calling it from multiple threads simultaneously may
 lead to interleaved text.",void,,28.0
"<android.media.audiofx.DynamicsProcessing.Config.Builder: DynamicsProcessing.Config.Builder setPreEqByChannelIndex(int,DynamicsProcessing.Eq)>",,,,DynamicsProcessing.Config.Builder |||,"channelIndex int |||
preEq DynamicsProcessing.Eq |||",28.0
<android.telephony.TelephonyScanManager.NetworkScanCallback: void onError(int)>,,,"Informs the user that there is some error about the scan.

 This callback will be called whenever there is any error about the scan and the scan
 will be terminated. onComplete() will NOT be called.",void,"error int : Error code when the scan is failed as defined in NetworkScan .
Value is NetworkScan.ERROR_MODEM_ERROR  NetworkScan.ERROR_INVALID_SCAN  NetworkScan.ERROR_MODEM_UNAVAILABLE  NetworkScan.ERROR_UNSUPPORTED  NetworkScan.ERROR_RADIO_INTERFACE_ERROR  NetworkScan.ERROR_INVALID_SCANID or NetworkScan.ERROR_INTERRUPTED |||",28.0
<android.service.voice.VoiceInteractionSession.AssistState: boolean isFocused()>,,,,boolean whether the source activity is focused. |||,,29.0
<android.telephony.mbms.GroupCall: void close()>,,,"Stop this group call. Further operations on this object will fail with an IllegalStateException .

 May throw an IllegalStateException",void,,29.0
<android.app.slice.SliceSpec: boolean canRender(SliceSpec)>,,,"Indicates that this spec can be used to render the specified spec. Rendering support is not bi-directional (e.g. Spec v3 can render
 Spec v2 but Spec v2 cannot render Spec v3).",boolean true if versions are compatible. |||,"candidate SliceSpec : candidate format of data.
This value must never be null . |||",28.0
<android.icu.text.Edits.Iterator: boolean next()>,,,Advances the iterator to the next edit.,boolean true if there is another edit |||,,29.0
"<android.telecom.CallRedirectionService: void onPlaceCall(Uri,PhoneAccountHandle,boolean)>",,,"Telecom calls this method once upon binding to a CallRedirectionService to inform
 it of a new outgoing call which is being placed. Telecom does not request to redirect
 emergency calls and does not request to redirect calls with gateway information. Telecom will cancel the call if Telecom does not receive a response in 5 seconds from
 the implemented CallRedirectionService set by users. The implemented CallRedirectionService can call placeCallUnmodified()  redirectCall(android.net.Uri android.telecom.PhoneAccountHandle boolean) and cancelCall() only
 from here. Calls to these methods are assumed by the Telecom framework to be the response
 for the phone call for which onPlaceCall(android.net.Uri android.telecom.PhoneAccountHandle boolean) was
 invoked by Telecom. The Telecom framework will only invoke onPlaceCall(android.net.Uri android.telecom.PhoneAccountHandle boolean) once each time it binds to a CallRedirectionService .",void,"handle Uri : the phone number dialed by the user represented in E.164 format if possible
This value must never be null . |||
initialPhoneAccount PhoneAccountHandle : the PhoneAccountHandle on which the call will be placed.
This value must never be null . |||
allowInteractiveResponse boolean : a boolean to tell if the implemented CallRedirectionService should allow interactive
responses with users. Will be false if for example
the device is in car mode and the user would not be able to
interact with their device. |||",29.0
<android.content.pm.ShortcutInfo.Builder: ShortcutInfo.Builder setPerson(Person)>,,,"Add a person that is relevant to this shortcut. Alternatively setPersons(android.app.Person[]) can be used to add multiple persons to a shortcut. This is an optional field but the addition of person may cause this shortcut to
 appear more prominently in the user interface (e.g. ShareSheet). A person should usually contain a uri in order to benefit from the ranking boost.
 However even if no uri is provided it's beneficial to provide people in the shortcut
 such that listeners and voice only devices can announce and handle them properly.",ShortcutInfo.Builder This value will never be null . |||,person Person : This value must never be null . |||,29.0
"<android.telephony.SubscriptionManager: void removeSubscriptionsFromGroup(List,ParcelUuid)>",,,"Remove a list of subscriptions from their subscription group.
 See createSubscriptionGroup(java.util.List) for more details.

 Caller will either have Manifest.permission.MODIFY_PHONE_STATE permission or had carrier privilege permission on the subscriptions: TelephonyManager#hasCarrierPrivileges() or canManageSubscription(android.telephony.SubscriptionInfo) Requires Manifest.permission.MODIFY_PHONE_STATE",void,"subIdList List : list of subId that need removing from their groups.
This value must never be null . |||
groupUuid ParcelUuid : This value must never be null . |||",29.0
<android.database.CursorWrapper: List getNotificationUris()>,,,"Return the URIs at which notifications of changes in this Cursor's data
 will be delivered as previously set by setNotificationUris(ContentResolver List ) . If this is not implemented this is equivalent to calling getNotificationUri() .","List < Uri > Returns URIs that can be used with ContentResolver#registerContentObserver(android.net.Uri boolean ContentObserver) to find out about changes to this Cursor's
 data. May be null if no notification URI has been set. |||",,29.0
<android.graphics.drawable.Icon: Icon setTintBlendMode(BlendMode)>,,,Store a blending mode to use whenever this Icon is drawn.,Icon this same object for use in chained construction |||,"mode BlendMode : a blending mode as in Drawable#setTintMode(PorterDuff.Mode) may be null
This value must never be null . |||",29.0
<android.icu.text.Bidi: int countRuns()>,,,"Get the number of runs.
 This method may invoke the actual reordering on the Bidi object after setPara() may have resolved only the levels of the text. Therefore countRuns() may have to allocate memory
 and may throw an exception if it fails to do so.",int The number of runs. |||,,29.0
<android.os.storage.StorageVolume: Intent createOpenDocumentTreeIntent()>,,,"Builds an Intent#ACTION_OPEN_DOCUMENT_TREE to allow the user to grant access to any
 directory subtree (or entire volume) from the DocumentsProvider s
 available on the device. The initial location of the document navigation will be the root of
 this StorageVolume .

 Note that the returned Intent simply suggests that the user picks this StorageVolume by default but the user may select a different location. Callers must respect
 the user's chosen location even if it is different from the originally requested location.","Intent intent to Intent#ACTION_OPEN_DOCUMENT_TREE initially showing the contents
         of this StorageVolume This value will never be null . |||",,29.0
<android.view.textclassifier.TextClassifier.EntityConfig.Builder: TextClassifier.EntityConfig build()>,,,Combines all of the options that have been set and returns a new EntityConfig object.,TextClassifier.EntityConfig This value will never be null . |||,,29.0
<android.icu.text.CaseMap.Lower: CaseMap.Lower omitUnchangedText()>,,,"Returns an instance that behaves like this one but
 omits unchanged text when case-mapping with Edits .",CaseMap.Lower an options object with this option. |||,,29.0
"<android.content.pm.ModuleInfo: void writeToParcel(Parcel,int)>",,,Flattens this object into the given Parcel .,void,"dest Parcel : The Parcel in which the object should be written. |||
parcelableFlags int : Additional flags about how the object should be written.
May be 0 or Parcelable.PARCELABLE_WRITE_RETURN_VALUE .
Value is either 0 or a combination of Parcelable.PARCELABLE_WRITE_RETURN_VALUE and android.os.Parcelable.PARCELABLE_ELIDE_DUPLICATES |||",29.0
<android.telephony.data.ApnSetting: int getProxyPort()>,,,Returns the proxy address of the APN.,int proxy address. |||,,28.0
<android.graphics.ImageDecoder: int getAllocator()>,,,Return the allocator for the pixel memory.,int Value is ALLOCATOR_DEFAULT  ALLOCATOR_SOFTWARE  ALLOCATOR_SHARED_MEMORY or ALLOCATOR_HARDWARE |||,,28.0
"<android.graphics.ImageDecoder: ImageDecoder.Source createSource(ContentResolver,Uri)>",,,"Create a new Source from a Uri . content ( ContentResolver#SCHEME_CONTENT ) 
android.resource ( ContentResolver#SCHEME_ANDROID_RESOURCE ) 
file ( ContentResolver#SCHEME_FILE )","ImageDecoder.Source a new Source object which can be passed to decodeDrawable or decodeBitmap .
 
 This value will never be null . |||","cr ContentResolver : to retrieve from.
This value must never be null . |||
uri Uri : of the image file.
This value must never be null . |||",28.0
<android.icu.text.Bidi: int getVisualMap()>,,,"Get a visual-to-logical index map (array) for the characters in the Bidi (paragraph or line) object. Some values in the map may be MAP_NOWHERE if the
 corresponding text characters are Bidi marks inserted in the visual
 output by the option OPTION_INSERT_MARKS . When the visual output is altered by using options of writeReordered() such as INSERT_LRM_FOR_NUMERIC  KEEP_BASE_COMBINING  OUTPUT_REVERSE  REMOVE_BIDI_CONTROLS the logical positions returned may not
 be correct. It is advised to use when possible reordering options
 such as OPTION_INSERT_MARKS and OPTION_REMOVE_CONTROLS .",int[] an array of getResultLength() indexes which will reflect the reordering of the characters. The index map will result in indexMap[visualIndex]==logicalIndex where indexMap represents the returned array. |||,,29.0
<android.graphics.drawable.BitmapDrawable: void setTintBlendMode(BlendMode)>,,,"Specifies a tint blending mode for this drawable. Defines how this drawable's tint color should be blended into the drawable
 before it is drawn to screen. Default tint mode is BlendMode#SRC_IN . Note: Setting a color filter via setColorFilter(android.graphics.ColorFilter)",void,blendMode BlendMode : This value must never be null . |||,29.0
<android.view.accessibility.AccessibilityEvent: int getWindowChanges()>,,,"Get the bit mask of change types signaled by a TYPE_WINDOWS_CHANGED event. A
 single event may represent multiple change types.","int The bit mask of change types.
 
 Value is either 0 or a combination of WINDOWS_CHANGE_ADDED  WINDOWS_CHANGE_REMOVED  WINDOWS_CHANGE_TITLE  WINDOWS_CHANGE_BOUNDS  WINDOWS_CHANGE_LAYER  WINDOWS_CHANGE_ACTIVE  WINDOWS_CHANGE_FOCUSED  WINDOWS_CHANGE_ACCESSIBILITY_FOCUSED  WINDOWS_CHANGE_PARENT  WINDOWS_CHANGE_CHILDREN and WINDOWS_CHANGE_PIP |||",,28.0
<android.graphics.drawable.StateListDrawable: int getStateCount()>,,,Gets the number of states contained in this drawable.,int The number of states contained in this drawable. |||,,29.0
<android.media.audiofx.DynamicsProcessing: void setLimiterAllChannelsTo(DynamicsProcessing.Limiter)>,,,,void,limiter DynamicsProcessing.Limiter |||,28.0
<android.graphics.ImageDecoder: int getMemorySizePolicy()>,,,Retrieve the memory policy for the decoded Bitmap .,int Value is MEMORY_POLICY_DEFAULT or MEMORY_POLICY_LOW_RAM |||,,28.0
<android.graphics.Insets: int describeContents()>,,,"Describe the kinds of special objects contained in this Parcelable
 instance's marshaled representation. For example if the object will
 include a file descriptor in the output of writeToParcel(android.os.Parcel int) the return value of this method must include the CONTENTS_FILE_DESCRIPTOR bit.","int a bitmask indicating the set of special object types marshaled
 by this Parcelable object instance.
 
 Value is either 0 or CONTENTS_FILE_DESCRIPTOR |||",,29.0
<android.icu.text.Edits: Edits.Iterator getCoarseChangesIterator()>,,,"Returns an Iterator for coarse-grained change edits
 (adjacent change edits are treated as one).
 Can be used to perform simple string updates.
 Skips no-change edits.",Edits.Iterator an Iterator that merges adjacent changes. |||,,29.0
<android.media.MediaDrm: int getMaxHdcpLevel()>,,,"Return the maximum supported HDCP level. The maximum HDCP level is a
 constant for a given device it does not depend on downstream receivers
 that may be connected. If multiple HDCP-capable interfaces are present
 it indicates the highest of the maximum HDCP levels of all interfaces.","int the maximum supported HDCP level
 
 Value is HDCP_LEVEL_UNKNOWN  HDCP_NONE  HDCP_V1  HDCP_V2  HDCP_V2_1  HDCP_V2_2  HDCP_V2_3 or HDCP_NO_DIGITAL_OUTPUT |||",,28.0
<android.telephony.mbms.StreamingServiceCallback: void onStreamMethodUpdated(int)>,,,"Notify of bcast/unicast method being used.

 This is intended to be informational.  Indicates
 whether we're able to use cell broadcast or have
 had to fallback to unicast for this stream.

 This must be called once at the beginning of the stream
 around the same time as we change to STATE_STARTED but
 strict ordering is not specified.  It must be called
 again if we change modes but if that doesn't happen
 the callback won't be used again.

 See StreamingService#BROADCAST_METHOD and StreamingService#UNICAST_METHOD",void,methodType int |||,28.0
"<android.graphics.ImageDecoder: Drawable decodeDrawable(ImageDecoder.Source,ImageDecoder.OnHeaderDecodedListener)>",,,"Create a Drawable from a Source . This method may take several seconds to complete so it should
 only be called from a worker thread.","Drawable Drawable for displaying the image.

 This value will never be null . |||","src ImageDecoder.Source : representing the encoded image.
This value must never be null . |||
listener ImageDecoder.OnHeaderDecodedListener : for learning the ImageInfo and changing any
default settings on the ImageDecoder . This will be called on
the same thread as decodeDrawable before that method returns.
This is required in order to change any of the default settings.
This value must never be null . |||",28.0
"<android.app.admin.DevicePolicyManager: void installSystemUpdate(ComponentName,Uri,Executor,DevicePolicyManager.InstallSystemUpdateCallback)>",,,"Called by device owner or profile owner of an organization-owned managed profile to install
 a system update from the given file. The device will be
 rebooted in order to finish installing the update. Note that if the device is rebooted this
 doesn't necessarily mean that the update has been applied successfully. The caller should
 additionally check the system version with Build.FINGERPRINT or Build.VERSION . If an error occurs during processing the OTA before the reboot
 the caller will be notified by InstallSystemUpdateCallback . If device does not have
 sufficient battery level the installation will fail with error InstallSystemUpdateCallback#UPDATE_ERROR_BATTERY_LOW .",void,"admin ComponentName : The DeviceAdminReceiver that this request is associated with.
This value must never be null . |||
updateFilePath Uri : An Uri of the file that contains the update. The file should be
readable by the calling app.
This value must never be null . |||
executor Executor : The executor through which the callback should be invoked.
This value must never be null .
Callback and listener events are dispatched through this Executor providing an easy way to control which thread is
used. To dispatch events through the main thread of your
application you can use Context.getMainExecutor() .
To dispatch events through a shared thread pool you can use AsyncTask#THREAD_POOL_EXECUTOR . |||
callback DevicePolicyManager.InstallSystemUpdateCallback : A callback object that will inform the caller when installing an update
fails.
This value must never be null . |||",29.0
<android.service.notification.ZenPolicy.Builder: ZenPolicy.Builder showAllVisualEffects()>,,,Allows notifications intercepted by DND to show on all surfaces when DND is active.,ZenPolicy.Builder This value will never be null . |||,,29.0
<android.telephony.mbms.DownloadRequest: byte toByteArray()>,,,"This method returns a byte array that may be persisted to disk and restored to a DownloadRequest . The instance of DownloadRequest persisted by this method
 may be recovered via Builder#fromSerializedRequest(byte[]) .",byte[] A byte array of data to persist. |||,,28.0
<android.nfc.NfcAdapter: boolean isSecureNfcEnabled()>,,,Checks Secure NFC feature is enabled.,boolean True if Secure NFC is enabled false otherwise |||,,29.0
<android.widget.SearchView: boolean isIconifiedByDefault()>,,,Returns the default iconified state of the search field. Related XML Attributes: android:iconifiedByDefault,boolean |||,,29.0
<android.view.textclassifier.TextClassifierEvent.ConversationActionsEvent.Builder: TextClassifierEvent.ConversationActionsEvent build()>,,,Builds and returns a ConversationActionsEvent .,TextClassifierEvent.ConversationActionsEvent This value will never be null . |||,,29.0
<android.content.pm.VersionedPackage: long getLongVersionCode()>,,,Gets the version code.,"long The version code.
 
 Value is PackageManager.VERSION_CODE_HIGHEST or greater |||",,28.0
<android.provider.DocumentsProvider: Bundle getDocumentMetadata(String)>,,,"Returns metadata associated with the document. The type of metadata returned
 is specific to the document type. For example the data returned for an image
 file will likely consist primarily or solely of EXIF metadata. The returned Bundle will contain zero or more entries depending
 on the type of data supported by the document provider.","Bundle a Bundle of Bundles.
 This value may be null . |||","documentId String : get the metadata of the document
This value must never be null . |||",29.0
<android.graphics.drawable.ColorStateListDrawable: void invalidateDrawable(Drawable)>,,,"Called when the drawable needs to be redrawn.  A view at this point
 should invalidate itself (or at least the part of itself where the
 drawable appears).",void,who Drawable : This value must never be null . |||,29.0
<android.app.Application: String getProcessName()>,,,"Returns the name of the current process. A package's default process name
 is the same as its package name. Non-default processes will look like
 ""$PACKAGE_NAME:$NAME"" where $NAME corresponds to an android:process
 attribute within AndroidManifest.xml.",String |||,,28.0
<android.view.textclassifier.ConversationActions.Message.Builder: ConversationActions.Message.Builder setText(CharSequence)>,,,Sets the text of this message.,ConversationActions.Message.Builder This value will never be null . |||,text CharSequence : This value may be null . |||,29.0
"<android.app.Person: void writeToParcel(Parcel,int)>",,,Flatten this object in to a Parcel.,void,"dest Parcel : The Parcel in which the object should be written. |||
flags int : Value is either 0 or a combination of Parcelable.PARCELABLE_WRITE_RETURN_VALUE and android.os.Parcelable.PARCELABLE_ELIDE_DUPLICATES |||",28.0
<android.telephony.SubscriptionPlan.Builder: SubscriptionPlan build()>,,,,SubscriptionPlan |||,,28.0
<android.net.wifi.aware.WifiAwareNetworkInfo: int getPort()>,,,"Get the port number to be used to create a network connection to the Wi-Fi Aware peer.
 The port information is provided by the app running on the peer which requested the
 connection using the WifiAwareNetworkSpecifier.Builder#setPort(int) .","int A port number on the peer. A value of 0 indicates that no port was specified by the
         peer. |||",,29.0
<android.widget.NumberPicker: void setTextSize(float)>,,,Sets the text size to the given value. This value must be > 0,void,"size float : The size in pixel units.
Value is 0.0 or greater |||",29.0
<android.app.FragmentController: void attachHost(Fragment)>,,,"Attaches the host to the FragmentManager for this controller. The host must be
 attached before the FragmentManager can be used to manage Fragments.
     * @apiSince 23",void,parent Fragment |||,28.0
<android.telecom.Connection: void requestBluetoothAudio(BluetoothDevice)>,,,"Request audio routing to a specific bluetooth device. Calling this method may result in
 the device routing audio to a different bluetooth device than the one specified if the
 bluetooth stack is unable to route audio to the requested device.
 A list of available devices can be obtained via CallAudioState#getSupportedBluetoothDevices() Used by self-managed ConnectionService s which wish to use bluetooth audio for a
 self-managed Connection (see PhoneAccount#CAPABILITY_SELF_MANAGED .) See also InCallService#requestBluetoothAudio(BluetoothDevice)",void,"bluetoothDevice BluetoothDevice : The bluetooth device to connect to.
This value must never be null . |||",28.0
<android.service.notification.ZenPolicy: int getPriorityCategoryAlarms()>,,,"Whether this policy wants to allow notifications with category Notification#CATEGORY_ALARM to play sounds and visually appear
 or to intercept them when DND is active.
 When alarms are disallowed the alarm stream will be muted when DND
 is active.",int STATE_UNSET  STATE_ALLOW or STATE_DISALLOW Value is STATE_UNSET  STATE_ALLOW or STATE_DISALLOW |||,,29.0
"<android.icu.text.Transliterator: String getDisplayName(String,ULocale)>",,,"Returns a name for this transliterator that is appropriate for
 display to the user in the given locale.  This name is taken
 from the locale resource data in the standard manner of the java.text package. If no localized names exist in the system resource bundles
 a name is synthesized using a localized MessageFormat pattern from the resource data.  The
 arguments to this pattern are an integer followed by one or two
 strings.  The integer is the number of strings either 1 or 2.
 The strings are formed by splitting the ID for this
 transliterator at the first '-'.  If there is no '-' then the
 entire ID forms the only string.",String |||,"id String |||
inLocale ULocale : the ULocale in which the display name should be
localized. |||",29.0
<android.net.wifi.rtt.RangingResult: long getRangingTimestampMillis()>,,,,"long The timestamp at which the ranging operation was performed. The timestamp is in
 milliseconds since boot including time spent in sleep corresponding to values provided by SystemClock.elapsedRealtime() . Only valid if getStatus() returns STATUS_SUCCESS otherwise will throw an
 exception. |||",,28.0
"<android.telephony.data.ApnSetting: void writeToParcel(Parcel,int)>",,,Flatten this object in to a Parcel.,void,"dest Parcel : This value must never be null . |||
flags int : Additional flags about how the object should be written.
May be 0 or Parcelable.PARCELABLE_WRITE_RETURN_VALUE .
Value is either 0 or a combination of Parcelable.PARCELABLE_WRITE_RETURN_VALUE and android.os.Parcelable.PARCELABLE_ELIDE_DUPLICATES |||",28.0
