,Old Annotation,New Annotation,Description,Parameters,Return,ClassDescription,PackageDescription
"<android.view.textclassifier.TextClassification: void writeToParcel(Parcel,int)>",NEITHER,NEITHER,Flatten this object in to a Parcel.,"dest Parcel : The Parcel in which the object should be written. |||
flags int : Additional flags about how the object should be written.
May be 0 or Parcelable.PARCELABLE_WRITE_RETURN_VALUE .
Value is either 0 or a combination of Parcelable.PARCELABLE_WRITE_RETURN_VALUE and android.os.Parcelable.PARCELABLE_ELIDE_DUPLICATES |||",void,"Information for generating a widget to handle classified text.

  A TextClassification object contains icons labels onClickListeners and intents that may
 be used to build a widget that can be used to act on classified text. There is the concept of a
  primary action  and other  secondary actions .

  e.g. building a view that when clicked shares the classified text with the preferred app:

  // Called preferably outside the UiThread.
   TextClassification classification = textClassifier.classifyText(allText 10 25);

   // Called on the UiThread.
   Button button = new Button(context);
   button.setCompoundDrawablesWithIntrinsicBounds(classification.getIcon() null null null);
   button.setText(classification.getLabel());
   button.setOnClickListener(v -> classification.getActions().get(0).getActionIntent().send());
  e.g. starting an action mode with menu items that can handle the classified text:

  // Called preferably outside the UiThread.
   final TextClassification classification = textClassifier.classifyText(allText 10 25);

   // Called on the UiThread.
   view.startActionMode(new ActionMode.Callback() {

       public boolean onCreateActionMode(ActionMode mode Menu menu) {
           for (int i = 0; i < classification.getActions().size(); ++i) {
              RemoteAction action = classification.getActions().get(i);
              menu.add(Menu.NONE i 20 action.getTitle())
                 .setIcon(action.getIcon());
           }
           return true;
       }

       public boolean onActionItemClicked(ActionMode mode MenuItem item) {
           classification.getActions().get(item.getItemId()).getActionIntent().send();
           return true;
       }

       ...
   });",
<android.app.Person: Icon getIcon()>,NEITHER,SOURCE,,,Icon the icon provided for this person or null if no icon was provided. |||,"Provides an immutable reference to an entity that appears repeatedly on different surfaces of the
 platform. For example this could represent the sender of a message.","Contains high-level classes encapsulating the overall Android application model. An Android application is defined using one or more of Android's four core application
 components. Two such application components are defined in this package:  Activity  and  Service . The other two components are from the  android.content  package:  BroadcastReceiver  and  ContentProvider . An  Activity  is an application component that provides a screen with which
 users can interact in order to do something such as dial the phone take a photo send an email or
 view a map. An activity can start other activities including activities that live in separate
 applications. A  Service  is an application component that can perform
 long-running operations in the background without a user interface. For example a service
 can handle network transactions play music or work with a content provider without the user being
 aware of the work going on. The  Fragment  class is also an important part of an application's
 designâ€”especially when designing for large screen devices such as tablets. A fragment defines
 a distinct part of an activity's behavior including the associated UI. It has its own lifecycle
 that is similar to that of the activity and can exist alongside other fragments that are embedded in
 the activity. While an activity is running you can add and remove fragments and include each
 fragment in a back stack that's managed by the activityâ€”allowing the user to navigate
 backwards through the fragment states without leaving the activity. This package also defines application utilities such as dialogs notifications and the
 action bar. For information about using some the classes in this package see the following
 documents:  Activities   Services   Fragments   Using the Action Bar   Creating Dialogs  and  Notifying the User ."
<android.view.textclassifier.TextClassification.Request.Builder: TextClassification.Request.Builder setDefaultLocales(LocaleList)>,NEITHER,NEITHER,,"defaultLocales LocaleList : ordered list of locale preferences that may be used to
disambiguate the provided text. If no locale preferences exist set this to null
or an empty locale list.
This value may be null . |||",TextClassification.Request.Builder this builder |||,A builder for building TextClassification requests.,
<android.service.autofill.FillResponse.Builder: FillResponse.Builder setUserData(UserData)>,NEITHER,SOURCE,"Sets a specific UserData for field classification for this request only. Any fields in this UserData will override corresponding fields in the generic
 UserData object",userData UserData : This value must never be null . |||,"FillResponse.Builder this builder
 This value will never be null . |||","Builder for  FillResponse  objects. You must to provide at least
 one dataset or set an authentication intent with a presentation view.",
"<android.telephony.SubscriptionPlan: void writeToParcel(Parcel,int)>",NEITHER,NEITHER,Flatten this object in to a Parcel.,"dest Parcel : The Parcel in which the object should be written. |||
flags int : Additional flags about how the object should be written.
May be 0 or Parcelable.PARCELABLE_WRITE_RETURN_VALUE .
Value is either 0 or a combination of Parcelable.PARCELABLE_WRITE_RETURN_VALUE and android.os.Parcelable.PARCELABLE_ELIDE_DUPLICATES |||",void,"Description of a billing relationship plan between a carrier and a specific
 subscriber. This information is used to present more useful UI to users such
 as explaining how much mobile data they have remaining and what will happen
 when they run out.",
<android.provider.MediaStore: Uri setRequireOriginal(Uri)>,NEITHER,NEITHER,"Update the given Uri to indicate that the caller requires the
 original file contents when calling ContentResolver#openFileDescriptor(Uri String) . This can be useful when the caller wants to ensure they're backing up the
 exact bytes of the underlying media without any Exif redaction being
 performed. If the original file contents cannot be provided a UnsupportedOperationException will be thrown when the returned Uri is used such as when the caller doesn't hold Manifest.permission.ACCESS_MEDIA_LOCATION .",uri Uri : This value must never be null . |||,Uri This value will never be null . |||,"The contract between the media provider and applications. Contains
 definitions for the supported URIs and columns.
  
 The media provider provides an indexed collection of common media types such
 as  Audio   Video  and  Images  from any attached
 storage devices. Each collection is organized based on the primary MIME type
 of the underlying content; for example  image/*  content is indexed
 under  Images . The  Files  collection provides a broad view
 across all collections and does not filter by MIME type.","Provides convenience classes to access the content providers supplied by
 Android. Android ships with a number of content providers that store common data such
 as contact informations calendar information and media files. These classes
 provide simplified methods of adding or retrieving data from these content
 providers. For information about how to use a content provider see the  Content Providers  developer
 guide."
<android.app.job.JobInfo.Builder: JobInfo.Builder setRequiredNetwork(NetworkRequest)>,NEITHER,SOURCE,"Set detailed description of the kind of network your job requires. If your job doesn't need a network connection you don't need to call
 this method as the default is null . Calling this method defines network as a strict requirement for your
 job. If the network requested is not available your job will never
 run. See setOverrideDeadline(long) to change this behavior.
 Calling this method will override any requirements previously defined
 by setRequiredNetworkType(int) ; you typically only want to
 call one of these methods. When your job executes in JobService#onStartJob(JobParameters) be sure to use the
 specific network returned by JobParameters#getNetwork() otherwise you'll use the default network which may not meet this
 constraint.","networkRequest NetworkRequest : The detailed description of the kind of network
this job requires or null if no specific kind of
network is required. Defining a NetworkSpecifier is only supported for jobs that aren't persisted.
This value may be null . |||",JobInfo.Builder |||,Builder class for constructing  JobInfo  objects.,"Contains high-level classes encapsulating the overall Android application model. An Android application is defined using one or more of Android's four core application
 components. Two such application components are defined in this package:  Activity  and  Service . The other two components are from the  android.content  package:  BroadcastReceiver  and  ContentProvider . An  Activity  is an application component that provides a screen with which
 users can interact in order to do something such as dial the phone take a photo send an email or
 view a map. An activity can start other activities including activities that live in separate
 applications. A  Service  is an application component that can perform
 long-running operations in the background without a user interface. For example a service
 can handle network transactions play music or work with a content provider without the user being
 aware of the work going on. The  Fragment  class is also an important part of an application's
 designâ€”especially when designing for large screen devices such as tablets. A fragment defines
 a distinct part of an activity's behavior including the associated UI. It has its own lifecycle
 that is similar to that of the activity and can exist alongside other fragments that are embedded in
 the activity. While an activity is running you can add and remove fragments and include each
 fragment in a back stack that's managed by the activityâ€”allowing the user to navigate
 backwards through the fragment states without leaving the activity. This package also defines application utilities such as dialogs notifications and the
 action bar. For information about using some the classes in this package see the following
 documents:  Activities   Services   Fragments   Using the Action Bar   Creating Dialogs  and  Notifying the User ."
"<android.view.textclassifier.TextSelection.Request: void writeToParcel(Parcel,int)>",NEITHER,NEITHER,Flatten this object in to a Parcel.,"dest Parcel : The Parcel in which the object should be written. |||
flags int : Additional flags about how the object should be written.
May be 0 or Parcelable.PARCELABLE_WRITE_RETURN_VALUE .
Value is either 0 or a combination of Parcelable.PARCELABLE_WRITE_RETURN_VALUE and android.os.Parcelable.PARCELABLE_ELIDE_DUPLICATES |||",void,A request object for generating TextSelection.,
<android.net.wifi.p2p.WifiP2pConfig.Builder: WifiP2pConfig.Builder setNetworkName(String)>,NEITHER,SOURCE,"Specify the network name a.k.a. group name
 for creating or joining a group. A network name shall begin with ""DIRECT-xy"". x and y are selected
 from the following character set: upper case letters lower case
 letters and numbers. Any byte values allowed for an SSID according to
 IEEE802.11-2012 [1] may be included after the string ""DIRECT-xy""
 (including none). Must be called - an empty network name or an network name
     not conforming to the P2P Group ID naming rule is not valid.","networkName String : network name of a group.
This value must never be null . |||","WifiP2pConfig.Builder The builder to facilitate chaining builder.setXXX(..).setXXX(..) .
 
 This value will never be null . |||","Builder used to build  WifiP2pConfig  objects for
 creating or joining a group.","Provides classes to create peer-to-peer (P2P) connections with Wi-Fi Direct. Using these APIs you can discover and connect to other devices when each
 device supports Wi-Fi Direct then communicate over a speedy connection across distances much longer
 than a Bluetooth connection. The primary class you need to work with is  WifiP2pManager  which you can acquire by calling  getSystemService(WIFI_P2P_SERVICE) . The  WifiP2pManager  includes APIs that allow you to: Initialize your application for P2P connections by calling  initialize() Discover nearby devices by calling  discoverPeers() Start a P2P connection by calling  connect() And more Several other interfaces and classes are necessary as well such as: The  WifiP2pManager.ActionListener  interface allows you to receive
 callbacks when an operation such as discovering peers or connecting to them succeeds or fails. WifiP2pManager.PeerListListener  interface allows you to receive
 information about discovered peers. The callback provides a  WifiP2pDeviceList  from which you can retrieve a  WifiP2pDevice  object for each device within range and get information such as
 the device name address device type the WPS configurations the device supports and more. The  WifiP2pManager.GroupInfoListener  interface allows you to
 receive information about a P2P group. The callback provides a  WifiP2pGroup  object which provides group information such as the owner the
 network name and passphrase. WifiP2pManager.ConnectionInfoListener  interface allows you to
 receive information about the current connection. The callback provides a  WifiP2pInfo  object which has information such as whether a group has been
 formed and who is the group owner. In order to use the Wi-Fi P2P APIs your app must request the following user permissions: ACCESS_WIFI_STATE CHANGE_WIFI_STATE INTERNET  (although your app doesnâ€™t technically connect
 to the Internet communicating to Wi-Fi Direct peers with standard java sockets requires Internet
 permission). For example code see the  Wi-Fi
 Direct Demo  sample application. Note:  Not all Android-powered devices support Wi-Fi
 Direct. If your application uses Wi-Fi Direct declare so with a  <uses-feature> 
 element in the manifest file: 
 <manifest ...>
     <uses-feature android:name=""android.hardware.wifi.direct"" />
     ...
 </manifest>"
"<android.telephony.CellIdentityTdscdma: void writeToParcel(Parcel,int)>",NEITHER,NEITHER,Implement the Parcelable interface,"dest Parcel : The Parcel in which the object should be written. |||
flags int : Additional flags about how the object should be written.
May be 0 or Parcelable.PARCELABLE_WRITE_RETURN_VALUE .
Value is either 0 or a combination of Parcelable.PARCELABLE_WRITE_RETURN_VALUE and android.os.Parcelable.PARCELABLE_ELIDE_DUPLICATES |||",void,"CellIdentity represents the identity of a unique cell. This is the base class for
 CellIdentityXxx which represents cell identity for specific network access technology.",
"<android.view.textclassifier.TextLanguage.Builder: TextLanguage.Builder putLocale(ULocale,float)>",NEITHER,SOURCE,"Sets a language locale for the processed text and assigns a confidence score. If the
 locale has already been set this updates it.","locale ULocale : This value must never be null . |||
confidenceScore float : a value from 0 (low confidence) to 1 (high confidence).
0 implies the locale does not exist for the processed text.
Values greater than 1 are clamped to 1.
Value is between 0.0 and 1.0 inclusive |||",TextLanguage.Builder This value will never be null . |||,Builder used to build TextLanguage objects.,
"<android.net.wifi.rtt.ResponderLocation: void writeToParcel(Parcel,int)>",NEITHER,NEITHER,Flatten this object in to a Parcel.,"parcel Parcel : The Parcel in which the object should be written. |||
flags int : Additional flags about how the object should be written.
May be 0 or Parcelable.PARCELABLE_WRITE_RETURN_VALUE .
Value is either 0 or a combination of Parcelable.PARCELABLE_WRITE_RETURN_VALUE and android.os.Parcelable.PARCELABLE_ELIDE_DUPLICATES |||",void,"ResponderLocation is both a Location Configuration Information (LCI) decoder and a Location Civic
 Report (LCR) decoder for information received from a Wi-Fi Access Point (AP) during Wi-Fi RTT
 ranging process.

  This is based on the IEEE P802.11-REVmc/D8.0 spec section 9.4.2.22 under Measurement Report
 Element. Subelement location data-fields parsed from separate input LCI and LCR Information
 Elements are unified in this class. Note: The information provided by this class is broadcast by a responder (usually an Access
 Point) and passed on as-is. There is no guarantee this information is accurate or correct and
 as a result developers should carefully consider how this information should be used and provide
 corresponding advice to users.","Provides classes which allow applications to use Wi-Fi RTT (IEEE 802.11mc) to measure distance
     to supporting Access Points and peer devices. The primary entry point to Wi-Fi RTT capabilities is the
      WifiRttManager  class which is acquired by calling
      Context.getSystemService(Context.WIFI_RTT_RANGING_SERVICE) Some APIs may require the following user permissions: ACCESS_WIFI_STATE CHANGE_WIFI_STATE ACCESS_FINE_LOCATION Usage of the API is also gated by the device's Location Mode: whether it permits Wi-Fi based
 location to be queried. Note:  Not all Android-powered devices support Wi-Fi RTT
     functionality.
     If your application only works with Wi-Fi RTT (i.e. it should only be installed on devices which
     support Wi-Fi RTT) declare so with a  <uses-feature> 
     element in the manifest file: 
 <manifest ...>
     <uses-feature android:name=""android.hardware.wifi.rtt"" />
     ...
 </manifest>
  Alternatively if your application does not require Wi-Fi RTT but can take advantage of it if
     available you can perform
     the check at run-time in your code using  hasSystemFeature(String)  with  FEATURE_WIFI_RTT : 
     getPackageManager().hasSystemFeature(PackageManager.FEATURE_WIFI_RTT)"
<android.bluetooth.le.ScanFilter.Builder: ScanFilter.Builder setServiceSolicitationUuid(ParcelUuid)>,NEITHER,SOURCE,Set filter on service solicitation uuid.,serviceSolicitationUuid ParcelUuid : This value may be null . |||,ScanFilter.Builder This value will never be null . |||,Builder class for  ScanFilter .,"Provides classes that manage Bluetooth functionality such as scanning for
 devices connecting with devices and managing data transfer between devices.
 The Bluetooth API supports both ""Classic Bluetooth"" and Bluetooth Low Energy. For more information about Classic Bluetooth see the
  Bluetooth  guide.
 For more information about Bluetooth Low Energy see the
  
 Bluetooth Low Energy  (BLE) guide. The Bluetooth APIs let applications: Scan for other Bluetooth devices (including BLE devices). Query the local Bluetooth adapter for paired Bluetooth devices. Establish RFCOMM channels/sockets. Connect to specified sockets on other devices. Transfer data to and from other devices. Communicate with BLE devices such as proximity sensors heart rate
     monitors fitness devices and so on. Act as a GATT client or a GATT server (BLE). 
 To perform Bluetooth communication using these APIs an application must
 declare the  BLUETOOTH  permission. Some
 additional functionality such as requesting device discovery
 also requires the  BLUETOOTH_ADMIN 
 permission.
  Note: 
 Not all Android-powered devices provide Bluetooth functionality."
"<android.telephony.CellInfoNr: void writeToParcel(Parcel,int)>",NEITHER,NEITHER,Implement the Parcelable interface,"dest Parcel : The Parcel in which the object should be written. |||
flags int : Additional flags about how the object should be written.
May be 0 or Parcelable.PARCELABLE_WRITE_RETURN_VALUE .
Value is either 0 or a combination of Parcelable.PARCELABLE_WRITE_RETURN_VALUE and android.os.Parcelable.PARCELABLE_ELIDE_DUPLICATES |||",void,A  CellInfo  representing an 5G NR cell that provides identity and measurement info.,
<android.hardware.camera2.params.OutputConfiguration: void setPhysicalCameraId(String)>,NEITHER,NEITHER,"Set the id of the physical camera for this OutputConfiguration In the case one logical camera is made up of multiple physical cameras it could be
 desirable for the camera application to request streams from individual physical cameras.
 This call achieves it by mapping the OutputConfiguration to the physical camera id. The valid physical camera ids can be queried by CameraCharacteristics.getPhysicalCameraIds() . Passing in a null physicalCameraId means that the OutputConfiguration is for a logical
 stream. This function must be called before CameraDevice#createCaptureSessionByOutputConfigurations or CameraDevice#createReprocessableCaptureSessionByConfigurations . Calling this function
 after CameraDevice#createCaptureSessionByOutputConfigurations or CameraDevice#createReprocessableCaptureSessionByConfigurations has no effect. The surface belonging to a physical camera OutputConfiguration must not be used as input
 or output of a reprocessing request.",physicalCameraId String : This value may be null . |||,void,"A class for describing camera output which contains a  Surface  and its specific
 configuration for creating capture session.

  There are several ways to instantiate modify and use OutputConfigurations. The most common
 and recommended usage patterns are summarized in the following list: Passing a  Surface  to the constructor and using the OutputConfiguration instance as
 argument to  CameraDevice#createCaptureSessionByOutputConfigurations . This is the most
 frequent usage and clients should consider it first before other more complicated alternatives.
  Passing only a surface source class as an argument to the constructor. This is usually
 followed by a call to create a capture session
 (see  CameraDevice#createCaptureSessionByOutputConfigurations  and a  Surface  add
 call  addSurface(Surface)  with a valid  Surface . The sequence completes with
  CameraCaptureSession#finalizeOutputConfigurations . This is the deferred usage case which
 aims to enhance performance by allowing the resource-intensive capture session create call to
 execute in parallel with any  Surface  initialization such as waiting for a
  SurfaceView  to be ready as part of the UI initialization. The third and most complex usage pattern involves surface sharing. Once instantiated an
 OutputConfiguration can be enabled for surface sharing via  enableSurfaceSharing() . This
 must be done before creating a new capture session and enables calls to
  CameraCaptureSession#updateOutputConfiguration . An OutputConfiguration with enabled
 surface sharing can be modified via  addSurface(Surface)  or  removeSurface(Surface) . The updates
 to this OutputConfiguration will only come into effect after
  CameraCaptureSession#updateOutputConfiguration  returns without throwing exceptions.
 Such updates can be done as long as the session is active. Clients should always consider the
 additional requirements and limitations placed on the output surfaces (for more details see
  enableSurfaceSharing()   addSurface(Surface)   removeSurface(Surface) 
  CameraCaptureSession#updateOutputConfiguration ). A trade-off exists between additional
 complexity and flexibility. If exercised correctly surface sharing can switch between different
 output surfaces without interrupting any ongoing repeating capture requests. This saves time and
 can significantly improve the user experience. Surface sharing can be used in combination with deferred surfaces. The rules from both cases
 are combined and clients must call  enableSurfaceSharing()  before creating a capture
 session. Attach and/or remove output surfaces via   addSurface(Surface) / removeSurface(Surface)  and
 finalize the configuration using  CameraCaptureSession#finalizeOutputConfigurations .
  CameraCaptureSession#updateOutputConfiguration  can be called after the configuration
 finalize method returns without exceptions.  As of  Android P  all formats except
  ImageFormat#JPEG  and  ImageFormat#RAW_PRIVATE  can be used for sharing subject to
 device support. On prior API levels only  ImageFormat#PRIVATE  format may be used.","The android.hardware.camera2 package provides an interface to
 individual camera devices connected to an Android device. It replaces
 the deprecated  Camera  class. This package models a camera device as a pipeline which takes in
 input requests for capturing a single frame captures the single image
 per the request and then outputs one capture result metadata packet
 plus a set of output image buffers for the request. The requests are
 processed in-order and multiple requests can be in flight at
 once. Since the camera device is a pipeline with multiple stages
 having multiple requests in flight is required to maintain full
 framerate on most Android devices. To enumerate query and open available camera devices obtain a
  CameraManager  instance. Individual  CameraDevices  provide a set of static property information that
 describes the hardware device and the available settings and output
 parameters for the device. This information is provided through the
  CameraCharacteristics  object and is
 available through  getCameraCharacteristics(String) To capture or stream images from a camera device the application
 must first create a  camera capture session 
 with a set of output Surfaces for use with the camera device with
  createCaptureSession(SessionConfiguration) . Each
 Surface has to be pre-configured with an  appropriate
 size and format  (if applicable) to match the sizes and formats
 available from the camera device. A target Surface can be obtained
 from a variety of classes including  SurfaceView 
  SurfaceTexture  via
  Surface(SurfaceTexture) 
  MediaCodec   MediaRecorder 
  Allocation  and  ImageReader .
  Generally camera preview images are sent to  SurfaceView  or  TextureView  (via its
  SurfaceTexture ). Capture of JPEG images or
 RAW buffers for  DngCreator  can be
 done with  ImageReader  with the  JPEG  and  RAW_SENSOR  formats.  Application-driven
 processing of camera data in RenderScript OpenGL ES or directly in
 managed or native code is best done through  Allocation  with a YUV  Type   SurfaceTexture 
 and  ImageReader  with a  YUV_420_888  format respectively. The application then needs to construct a  CaptureRequest  which defines all the
 capture parameters needed by a camera device to capture a single
 image. The request also lists which of the configured output Surfaces
 should be used as targets for this capture. The CameraDevice has a
  factory method  for creating a  request builder  for a
 given use case which is optimized for the Android device the
 application is running on. Once the request has been set up it can be handed to the active
 capture session either for a one-shot  capture  or for
 an endlessly  repeating  use. Both methods also have a variant that accepts a list
 of requests to use as a burst capture / repeating burst. Repeating
 requests have a lower priority than captures so a request submitted
 through  capture()  while there's a repeating request
 configured will be captured before any new instances of the currently
 repeating (burst) capture will begin capture. After processing a request the camera device will produce a  TotalCaptureResult  object which contains
 information about the state of the camera device at time of capture
 and the final settings used. These may vary somewhat from the request
 if rounding or resolving contradictory parameters was necessary. The
 camera device will also send a frame of image data into each of the
 output  Surfaces  included in the request. These are produced
 asynchronously relative to the output CaptureResult sometimes
 substantially later."
"<android.telephony.euicc.DownloadableSubscription: void writeToParcel(Parcel,int)>",NEITHER,NEITHER,Flatten this object in to a Parcel.,"dest Parcel : The Parcel in which the object should be written. |||
flags int : Additional flags about how the object should be written.
May be 0 or Parcelable.PARCELABLE_WRITE_RETURN_VALUE .
Value is either 0 or a combination of Parcelable.PARCELABLE_WRITE_RETURN_VALUE and android.os.Parcelable.PARCELABLE_ELIDE_DUPLICATES |||",void,"Information about a subscription which is downloadable to an eUICC using
  EuiccManager#downloadSubscription(DownloadableSubscription boolean PendingIntent)",
<android.telephony.SubscriptionManager: int getSubscriptionIds(int)>,NEITHER,SOURCE,Get an array of Subscription Ids for specified slot Index.,slotIndex int : the slot index. |||,"int[] subscription Ids or null if the given slot Index is not valid or there are no active
 subscriptions in the slot. |||","SubscriptionManager is the application interface to SubscriptionController
 and provides information about the current Telephony Subscriptions.",
<android.telephony.emergency.EmergencyNumber: String getNumber()>,NEITHER,SOURCE,"Get the dialing number of the emergency number.

 The character in the number string is only the dial pad
 character('0'-'9' '*' '+' or '#'). For example: 911.

 If the number starts with carrier prefix the carrier prefix is configured in CarrierConfigManager#KEY_EMERGENCY_NUMBER_PREFIX_STRING_ARRAY .",,"String the dialing number.
 
 This value will never be null . |||","A parcelable class that wraps and retrieves the information of number service category(s) and
 country code for a specific emergency number.",
